# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	464	1924	+					dnaA		PSTAB_RS00005	1461		old_locus_tag=PSTAB_0001
CDS	with_protein	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	464	1924	+	WP_013981173.1	WP_013981173.1		chromosomal replication initiator protein DnaA	dnaA		PSTAB_RS00005	1461	486	
gene	protein_coding	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	1958	3061	+					dnaN		PSTAB_RS00010	1104		old_locus_tag=PSTAB_0002
CDS	with_protein	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	1958	3061	+	WP_011911253.1	WP_011911253.1		DNA polymerase III subunit beta	dnaN		PSTAB_RS00010	1104	367	
gene	protein_coding	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	3071	4183	+					recF		PSTAB_RS00015	1113		old_locus_tag=PSTAB_0003
CDS	with_protein	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	3071	4183	+	WP_013981174.1	WP_013981174.1		DNA replication/repair protein RecF	recF		PSTAB_RS00015	1113	370	
gene	protein_coding	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	4180	6594	+					gyrB		PSTAB_RS00020	2415		old_locus_tag=PSTAB_0004
CDS	with_protein	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	4180	6594	+	WP_013981175.1	WP_013981175.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		PSTAB_RS00020	2415	804	
gene	protein_coding	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	6861	7727	+							PSTAB_RS00025	867		old_locus_tag=PSTAB_0005
CDS	with_protein	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	6861	7727	+	WP_013981176.1	WP_013981176.1		type I restriction-modification system subunit M			PSTAB_RS00025	867	288	
gene	protein_coding	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	7699	8921	+							PSTAB_RS00035	1223		old_locus_tag=PSTAB_0007
CDS	with_protein	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	7699	8921	+	WP_125884310.1	WP_125884310.1		IS3 family transposase			PSTAB_RS00035	1224	407	ribosomal_slippage
gene	pseudogene	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	8960	9787	+							PSTAB_RS00040	828		partial;pseudo;old_locus_tag=PSTAB_0008
CDS	without_protein	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	8960	9787	+				N-6 DNA methylase			PSTAB_RS00040	828		partial;pseudo
gene	protein_coding	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	9784	9966	+							PSTAB_RS21015	183		
CDS	with_protein	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	9784	9966	+	WP_080564956.1	WP_080564956.1		hypothetical protein			PSTAB_RS21015	183	60	
gene	protein_coding	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	10121	10924	-					istB		PSTAB_RS00045	804		old_locus_tag=PSTAB_0009
CDS	with_protein	GCF_000219605.1	Primary Assembly	chromosome		NC_015740.1	10121	10924	-	WP_011911830.1	WP_011911830.1		IS21-like element ISPst3 family helper ATPase IstB	istB		PSTAB_RS00045	804	267	
