# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	252	1163	+							A6779_RS00005	912		partial;pseudo;old_locus_tag=A6779_00005
CDS	without_protein	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	252	1163	+				methyl-accepting chemotaxis protein			A6779_RS00005	912		partial;pseudo
gene	protein_coding	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	1280	2698	-					hemN		A6779_RS00010	1419		old_locus_tag=A6779_00010
CDS	with_protein	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	1280	2698	-	WP_141697173.1	WP_141697173.1		oxygen-independent coproporphyrinogen III oxidase	hemN		A6779_RS00010	1419	472	
gene	protein_coding	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	2905	4437	+							A6779_RS00015	1533		old_locus_tag=A6779_00015
CDS	with_protein	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	2905	4437	+	WP_069181797.1	WP_069181797.1		cryptochrome/photolyase family protein			A6779_RS00015	1533	510	
gene	protein_coding	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	4453	5571	-					ugpC		A6779_RS00020	1119		old_locus_tag=A6779_00020
CDS	with_protein	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	4453	5571	-	WP_069181798.1	WP_069181798.1		sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	ugpC		A6779_RS00020	1119	372	
gene	protein_coding	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	5590	6459	-							A6779_RS00025	870		old_locus_tag=A6779_00025
CDS	with_protein	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	5590	6459	-	WP_069181799.1	WP_069181799.1		carbohydrate ABC transporter permease			A6779_RS00025	870	289	
gene	protein_coding	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	6452	7378	-							A6779_RS00030	927		old_locus_tag=A6779_00030
CDS	with_protein	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	6452	7378	-	WP_069181800.1	WP_069181800.1		sugar ABC transporter permease			A6779_RS00030	927	308	
gene	protein_coding	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	7432	8691	-							A6779_RS00035	1260		old_locus_tag=A6779_00035
CDS	with_protein	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	7432	8691	-	WP_069181801.1	WP_069181801.1		ABC transporter substrate-binding protein			A6779_RS00035	1260	419	
gene	protein_coding	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	8728	10167	-							A6779_RS00040	1440		old_locus_tag=A6779_00040
CDS	with_protein	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	8728	10167	-	WP_205632627.1	WP_205632627.1		carbohydrate porin			A6779_RS00040	1440	479	
gene	protein_coding	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	10278	11744	-							A6779_RS00045	1467		old_locus_tag=A6779_00045
CDS	with_protein	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	10278	11744	-	WP_069181802.1	WP_069181802.1		HAMP domain-containing protein			A6779_RS00045	1467	488	
gene	protein_coding	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	11731	12447	-							A6779_RS00050	717		old_locus_tag=A6779_00050
CDS	with_protein	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	11731	12447	-	WP_069182777.1	WP_069182777.1		response regulator transcription factor			A6779_RS00050	717	238	
gene	protein_coding	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	12568	13812	+							A6779_RS00055	1245		old_locus_tag=A6779_00055
CDS	with_protein	GCF_001717765.1	Primary Assembly	unplaced scaffold		NZ_LXRF01000001.1	12568	13812	+	WP_069181803.1	WP_069181803.1		transporter substrate-binding domain-containing protein			A6779_RS00055	1245	414	
