# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	804	2639	-					glmS		DW66_RS00005	1836		old_locus_tag=DW66_0001
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	804	2639	-	WP_013974900.1	WP_013974900.1		glutamine--fructose-6-phosphate transaminase (isomerizing)	glmS		DW66_RS00005	1836	611	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	2643	3419	-							DW66_RS00010	777		old_locus_tag=DW66_0002
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	2643	3419	-	WP_013974901.1	WP_013974901.1		DeoR family transcriptional regulator			DW66_RS00010	777	258	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	3728	5095	-					glmU		DW66_RS00015	1368		old_locus_tag=DW66_0003
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	3728	5095	-	WP_013974902.1	WP_013974902.1		bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	glmU		DW66_RS00015	1368	455	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	5217	5636	-							DW66_RS00020	420		old_locus_tag=DW66_0004
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	5217	5636	-	WP_003260039.1	WP_003260039.1		F0F1 ATP synthase subunit epsilon			DW66_RS00020	420	139	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	5680	7056	-					atpD		DW66_RS00025	1377		old_locus_tag=DW66_0005
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	5680	7056	-	WP_013974904.1	WP_013974904.1		F0F1 ATP synthase subunit beta	atpD		DW66_RS00025	1377	458	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	7084	7944	-					atpG		DW66_RS00030	861		old_locus_tag=DW66_0006
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	7084	7944	-	WP_013974905.1	WP_013974905.1		F0F1 ATP synthase subunit gamma	atpG		DW66_RS00030	861	286	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	7993	9537	-					atpA		DW66_RS00035	1545		old_locus_tag=DW66_0007
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	7993	9537	-	WP_013974906.1	WP_013974906.1		F0F1 ATP synthase subunit alpha	atpA		DW66_RS00035	1545	514	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	9559	10095	-							DW66_RS00040	537		old_locus_tag=DW66_0008
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	9559	10095	-	WP_003260034.1	WP_003260034.1		F0F1 ATP synthase subunit delta			DW66_RS00040	537	178	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	10108	10578	-							DW66_RS00045	471		old_locus_tag=DW66_0009
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	10108	10578	-	WP_003260032.1	WP_003260032.1		F0F1 ATP synthase subunit B			DW66_RS00045	471	156	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	10635	10892	-					atpE		DW66_RS00050	258		old_locus_tag=DW66_0010
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	10635	10892	-	WP_003097235.1	WP_003097235.1		F0F1 ATP synthase subunit C	atpE		DW66_RS00050	258	85	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	11037	11906	-					atpB		DW66_RS00055	870		old_locus_tag=DW66_0011
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	11037	11906	-	WP_003260030.1	WP_003260030.1		F0F1 ATP synthase subunit A	atpB		DW66_RS00055	870	289	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	11923	12330	-							DW66_RS00060	408		old_locus_tag=DW66_0012
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	11923	12330	-	WP_008092225.1	WP_008092225.1		F0F1 ATP synthase subunit I			DW66_RS00060	408	135	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	12480	13352	-							DW66_RS00065	873		old_locus_tag=DW66_0013
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	12480	13352	-	WP_003260029.1	WP_003260029.1		ParB/RepB/Spo0J family partition protein			DW66_RS00065	873	290	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	13362	14153	-							DW66_RS00070	792		old_locus_tag=DW66_0014
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	13362	14153	-	WP_012274913.1	WP_012274913.1		ParA family protein			DW66_RS00070	792	263	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	14172	14822	-					rsmG		DW66_RS00075	651		old_locus_tag=DW66_0015
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	14172	14822	-	WP_024087934.1	WP_024087934.1		16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG		DW66_RS00075	651	216	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	14819	16711	-					mnmG		DW66_RS00080	1893		old_locus_tag=DW66_0016
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	14819	16711	-	WP_015268403.1	WP_015268403.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	mnmG		DW66_RS00080	1893	630	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	17282	18652	-					mnmE		DW66_RS00085	1371		old_locus_tag=DW66_0017
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	17282	18652	-	WP_013970244.1	WP_013970244.1		tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	mnmE		DW66_RS00085	1371	456	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	18741	20423	-					yidC		DW66_RS00090	1683		old_locus_tag=DW66_0018
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	18741	20423	-	WP_038408470.1	WP_038408470.1		membrane protein insertase YidC	yidC		DW66_RS00090	1683	560	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	20426	20671	-					yidD		DW66_RS29950	246		
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	20426	20671	-	WP_080563709.1	WP_080563709.1		membrane protein insertion efficiency factor YidD	yidD		DW66_RS29950	246	81	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	20664	21068	-							DW66_RS29955	405		old_locus_tag=DW66_0019
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	20664	21068	-	WP_013970246.1	WP_013970246.1		ribonuclease P protein component			DW66_RS29955	405	134	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	21082	21216	-					rpmH		DW66_RS29960	135		old_locus_tag=DW66_0020
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	21082	21216	-	WP_003253163.1	WP_003253163.1		50S ribosomal protein L34	rpmH		DW66_RS29960	135	44	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	21811	23349	+					dnaA		DW66_RS00100	1539		old_locus_tag=DW66_0021
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	21811	23349	+	WP_024087935.1	WP_024087935.1		chromosomal replication initiator protein DnaA	dnaA		DW66_RS00100	1539	512	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	23390	24493	+					dnaN		DW66_RS00105	1104		old_locus_tag=DW66_0022
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	23390	24493	+	WP_003260019.1	WP_003260019.1		DNA polymerase III subunit beta	dnaN		DW66_RS00105	1104	367	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	24509	25612	+					recF		DW66_RS00110	1104		old_locus_tag=DW66_0023
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	24509	25612	+	WP_003260018.1	WP_003260018.1		DNA replication/repair protein RecF	recF		DW66_RS00110	1104	367	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	25617	28037	+					gyrB		DW66_RS00115	2421		old_locus_tag=DW66_0024
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	25617	28037	+	WP_013970249.1	WP_013970249.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		DW66_RS00115	2421	806	
gene	pseudogene	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	28106	28204	-							DW66_RS29965	99		partial;pseudo;old_locus_tag=DW66_0025
CDS	without_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	28106	28204	-				RcnB family protein			DW66_RS29965	99		partial;pseudo
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	28276	29568	-							DW66_RS00120	1293		old_locus_tag=DW66_0026
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	28276	29568	-	WP_013970251.1	WP_013970251.1		sigma-54-dependent Fis family transcriptional regulator			DW66_RS00120	1293	430	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	29791	30675	+							DW66_RS00125	885		old_locus_tag=DW66_0027
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	29791	30675	+	WP_013970252.1	WP_013970252.1		MBL fold metallo-hydrolase			DW66_RS00125	885	294	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	30715	31986	+							DW66_RS00130	1272		old_locus_tag=DW66_0028
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	30715	31986	+	WP_013970253.1	WP_013970253.1		NAD(P)/FAD-dependent oxidoreductase			DW66_RS00130	1272	423	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	31983	32801	+							DW66_RS00135	819		old_locus_tag=DW66_0029
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	31983	32801	+	WP_013970254.1	WP_013970254.1		sulfite exporter TauE/SafE family protein			DW66_RS00135	819	272	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	32790	33677	-							DW66_RS00140	888		old_locus_tag=DW66_0030
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	32790	33677	-	WP_013970255.1	WP_013970255.1		LysR family transcriptional regulator			DW66_RS00140	888	295	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	33899	35545	+							DW66_RS00145	1647		old_locus_tag=DW66_0031
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	33899	35545	+	WP_024087941.1	WP_024087941.1		GMC family oxidoreductase N-terminal domain-containing protein			DW66_RS00145	1647	548	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	35644	37263	+							DW66_RS00150	1620		old_locus_tag=DW66_0032
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	35644	37263	+	WP_023662756.1	WP_023662756.1		MFS transporter			DW66_RS00150	1620	539	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	37465	38250	-							DW66_RS00155	786		old_locus_tag=DW66_0033
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	37465	38250	-	WP_025337179.1	WP_025337179.1		1-acyl-sn-glycerol-3-phosphate acyltransferase			DW66_RS00155	786	261	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	38297	38824	-					gmhB		DW66_RS00160	528		old_locus_tag=DW66_0034
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	38297	38824	-	WP_013970259.1	WP_013970259.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	gmhB		DW66_RS00160	528	175	
gene	protein_coding	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	38828	40879	-							DW66_RS00165	2052		old_locus_tag=DW66_0035
CDS	with_protein	GCF_000691565.1	Primary Assembly	chromosome		NZ_CP007620.1	38828	40879	-	WP_013970260.1	WP_013970260.1		glycine--tRNA ligase subunit beta			DW66_RS00165	2052	683	
