# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	202	1107	+							CA608_RS00005	906		old_locus_tag=CA608_00005
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	202	1107	+	WP_012639851.1	WP_012639851.1		kinase/pyrophosphorylase			CA608_RS00005	906	301	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	1104	1703	+							CA608_RS00010	600		old_locus_tag=CA608_00010
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	1104	1703	+	WP_010917893.1	WP_010917893.1		Maf family protein			CA608_RS00010	600	199	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	1700	2557	+					aroE		CA608_RS00015	858		old_locus_tag=CA608_00015
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	1700	2557	+	WP_096032090.1	WP_096032090.1		shikimate dehydrogenase	aroE		CA608_RS00015	858	285	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	2559	3158	+							CA608_RS00020	600		old_locus_tag=CA608_00020
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	2559	3158	+	WP_096032091.1	WP_096032091.1		dephospho-CoA kinase			CA608_RS00020	600	199	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	3190	3903	+					dnaQ		CA608_RS00025	714		old_locus_tag=CA608_00025
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	3190	3903	+	WP_010917896.1	WP_010917896.1		DNA polymerase III subunit epsilon	dnaQ		CA608_RS00025	714	237	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	4022	4810	+							CA608_RS00030	789		old_locus_tag=CA608_00030
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	4022	4810	+	WP_096032092.1	WP_096032092.1		enoyl-CoA hydratase			CA608_RS00030	789	262	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	4960	5235	+					rpsT		CA608_RS00035	276		old_locus_tag=CA608_00035
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	4960	5235	+	WP_004617408.1	WP_004617408.1		30S ribosomal protein S20	rpsT		CA608_RS00035	276	91	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	5636	7108	+					dnaA		CA608_RS00040	1473		old_locus_tag=CA608_00040
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	5636	7108	+	WP_096032093.1	WP_096032093.1		chromosomal replication initiator protein DnaA	dnaA		CA608_RS00040	1473	490	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	7336	9186	+							CA608_RS00045	1851		old_locus_tag=CA608_00045
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	7336	9186	+	WP_125469906.1	WP_125469906.1		hypothetical protein			CA608_RS00045	1851	616	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	9211	9831	-							CA608_RS00050	621		old_locus_tag=CA608_00050
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	9211	9831	-	WP_096034704.1	WP_096034704.1		alpha-ketoglutarate-dependent dioxygenase AlkB			CA608_RS00050	621	206	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	10249	12144	+					dnaK		CA608_RS00055	1896		old_locus_tag=CA608_00055
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	10249	12144	+	WP_010917900.1	WP_010917900.1		molecular chaperone DnaK	dnaK		CA608_RS00055	1896	631	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	12307	13464	+					dnaJ		CA608_RS00060	1158		old_locus_tag=CA608_00060
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	12307	13464	+	WP_096032095.1	WP_096032095.1		molecular chaperone DnaJ	dnaJ		CA608_RS00060	1158	385	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	13551	16262	+					mutS		CA608_RS00065	2712		old_locus_tag=CA608_00065
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	13551	16262	+	WP_096032096.1	WP_096032096.1		DNA mismatch repair protein MutS	mutS		CA608_RS00065	2712	903	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	16283	19105	+							CA608_RS00070	2823		old_locus_tag=CA608_00070
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	16283	19105	+	WP_010917903.1	WP_010917903.1		[protein-PII] uridylyltransferase			CA608_RS00070	2823	940	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	19102	19578	-					moaC		CA608_RS00075	477		old_locus_tag=CA608_00075
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	19102	19578	-	WP_096032097.1	WP_096032097.1		cyclic pyranopterin monophosphate synthase MoaC	moaC		CA608_RS00075	477	158	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	19575	20126	-					moaB		CA608_RS00080	552		old_locus_tag=CA608_00080
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	19575	20126	-	WP_096032098.1	WP_096032098.1		molybdenum cofactor biosynthesis protein B	moaB		CA608_RS00080	552	183	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	20127	20579	-							CA608_RS00085	453		old_locus_tag=CA608_00085
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	20127	20579	-	WP_096032099.1	WP_096032099.1		molybdenum cofactor biosynthesis protein MoaE			CA608_RS00085	453	150	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	20576	20815	-					moaD		CA608_RS00090	240		old_locus_tag=CA608_00090
CDS	with_protein	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	20576	20815	-	WP_010917907.1	WP_010917907.1		molybdopterin converting factor subunit 1	moaD		CA608_RS00090	240	79	
gene	protein_coding	GCF_002310295.2	Primary Assembly	chromosome		NZ_CP023313.2	20819	21868	-					moaA		CA608_RS00095	1050		old_locus_tag=CA608_00095
