# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000191.1	1	1881	-							ACCUM_RS21350	1881		partial
CDS	with_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000191.1	1	1881	-	WP_138679221.1	WP_138679221.1		relaxase/mobilization nuclease domain-containing protein			ACCUM_RS21350	1881	627	partial
gene	protein_coding	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000191.1	1916	2287	-					traJ		ACCUM_RS21355	372		old_locus_tag=ACCUM_0003
CDS	with_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000191.1	1916	2287	-	WP_042335247.1	WP_042335247.1		conjugal transfer transcriptional regulator TraJ	traJ		ACCUM_RS21355	372	123	
gene	protein_coding	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000191.1	2617	3015	+							ACCUM_RS21360	399		old_locus_tag=ACCUM_0004
CDS	with_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000191.1	2617	3015	+	WP_042335248.1	WP_042335248.1		TraK family protein			ACCUM_RS21360	399	132	
gene	protein_coding	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000191.1	3015	3740	+							ACCUM_RS21365	726		old_locus_tag=ACCUM_0005
CDS	with_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000191.1	3015	3740	+	WP_138679222.1	WP_138679222.1		conjugal transfer protein TraL			ACCUM_RS21365	726	241	
gene	protein_coding	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000191.1	3740	4177	+							ACCUM_RS21370	438		old_locus_tag=ACCUM_0006
CDS	with_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000191.1	3740	4177	+	WP_138679223.1	WP_138679223.1		conjugal transfer protein TraM			ACCUM_RS21370	438	145	
gene	protein_coding	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000192.1	241	1260	+							ACCUM_RS21375	1020		old_locus_tag=ACCUM_0007
CDS	with_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000192.1	241	1260	+	WP_138679224.1	WP_138679224.1		haloacid dehalogenase-like hydrolase			ACCUM_RS21375	1020	339	
gene	protein_coding	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000192.1	1321	2994	+							ACCUM_RS21380	1674		old_locus_tag=ACCUM_0008
CDS	with_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000192.1	1321	2994	+	WP_034953511.1	WP_034953511.1		arylsulfatase			ACCUM_RS21380	1674	557	
gene	protein_coding	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000192.1	3211	3609	+							ACCUM_RS21385	399		
CDS	with_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000192.1	3211	3609	+	WP_034953513.1	WP_034953513.1		GFA family protein			ACCUM_RS21385	399	132	
gene	pseudogene	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000192.1	4109	4237	+							ACCUM_RS21390	129		partial;pseudo;old_locus_tag=ACCUM_0012
CDS	without_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000192.1	4109	4237	+				IS5/IS1182 family transposase			ACCUM_RS21390	129		partial;pseudo
gene	protein_coding	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000192.1	4273	4472	-							ACCUM_RS23075	200		partial
CDS	with_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000192.1	4273	4472	-	WP_212761153.1	WP_212761153.1		hypothetical protein			ACCUM_RS23075	200	65	partial
gene	protein_coding	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000193.1	353	1261	+							ACCUM_RS21395	909		old_locus_tag=ACCUM_0013
CDS	with_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000193.1	353	1261	+	WP_138679225.1	WP_138679225.1		sel1 repeat family protein			ACCUM_RS21395	909	302	
gene	protein_coding	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000193.1	1191	3851	+							ACCUM_RS21400	2661		old_locus_tag=ACCUM_0014
CDS	with_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000193.1	1191	3851	+	WP_138679226.1	WP_138679226.1		M10 family metallopeptidase C-terminal domain-containing protein			ACCUM_RS21400	2661	886	
gene	protein_coding	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000193.1	3833	4339	+							ACCUM_RS21405	507		old_locus_tag=ACCUM_0015
CDS	with_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000193.1	3833	4339	+	WP_138679227.1	WP_138679227.1		hypothetical protein			ACCUM_RS21405	507	168	
gene	protein_coding	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000194.1	1	574	+							ACCUM_RS21410	574		partial;old_locus_tag=ACCUM_0016
CDS	with_protein	GCF_005889575.1	Primary Assembly	unplaced scaffold		NZ_SWAD01000194.1	1	574	+	WP_171047486.1	WP_171047486.1		Hsp70 family protein			ACCUM_RS21410	574	190	partial
