# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	1	172	-							CKO29_RS00005	172		partial;old_locus_tag=CKO29_00005
CDS	with_protein	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	1	172	-	WP_207144834.1	WP_207144834.1		transposase			CKO29_RS00005	172	57	partial
gene	protein_coding	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	303	1055	+							CKO29_RS00010	753		old_locus_tag=CKO29_00010
CDS	with_protein	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	303	1055	+	WP_200156104.1	WP_200156104.1		hypothetical protein			CKO29_RS00010	753	250	
gene	protein_coding	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	1090	1302	-							CKO29_RS00015	213		old_locus_tag=CKO29_00015
CDS	with_protein	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	1090	1302	-	WP_200156106.1	WP_200156106.1		YjfB family protein			CKO29_RS00015	213	70	
gene	protein_coding	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	1578	1874	+							CKO29_RS00020	297		old_locus_tag=CKO29_00020
CDS	with_protein	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	1578	1874	+	WP_200156119.1	WP_200156119.1		PilZ domain-containing protein			CKO29_RS00020	297	98	
gene	protein_coding	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	1923	2906	+							CKO29_RS00025	984		old_locus_tag=CKO29_00025
CDS	with_protein	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	1923	2906	+	WP_200156121.1	WP_200156121.1		hypothetical protein			CKO29_RS00025	984	327	
gene	protein_coding	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	3052	4272	+							CKO29_RS00030	1221		old_locus_tag=CKO29_00030
CDS	with_protein	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	3052	4272	+	WP_200156123.1	WP_200156123.1		HDOD domain-containing protein			CKO29_RS00030	1221	406	
gene	protein_coding	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	4334	5182	+							CKO29_RS00035	849		old_locus_tag=CKO29_00035
CDS	with_protein	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	4334	5182	+	WP_207144835.1	WP_207144835.1		HDOD domain-containing protein			CKO29_RS00035	849	282	
gene	protein_coding	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	5199	5894	-							CKO29_RS00040	696		old_locus_tag=CKO29_00040
CDS	with_protein	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	5199	5894	-	WP_200156125.1	WP_200156125.1		hypothetical protein			CKO29_RS00040	696	231	
gene	protein_coding	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	6073	6813	+							CKO29_RS00045	741		old_locus_tag=CKO29_00045
CDS	with_protein	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	6073	6813	+	WP_200156459.1	WP_200156459.1		ABC transporter ATP-binding protein			CKO29_RS00045	741	246	
gene	protein_coding	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	6806	7660	+							CKO29_RS00050	855		old_locus_tag=CKO29_00050
CDS	with_protein	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	6806	7660	+	WP_012970770.1	WP_012970770.1		metal ABC transporter permease			CKO29_RS00050	855	284	
gene	protein_coding	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	7669	8127	+							CKO29_RS00055	459		old_locus_tag=CKO29_00055
CDS	with_protein	GCF_016584135.1	Primary Assembly	unplaced scaffold		NZ_NRSL01000001.1	7669	8127	+	WP_012970769.1	WP_012970769.1		transcriptional repressor			CKO29_RS00055	459	152	
