# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	322	1251	-							LAL4801_RS00005	930		old_locus_tag=LAL4801_00001
CDS	with_protein	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	322	1251	-	WP_055653418.1	WP_055653418.1		alpha/beta hydrolase			LAL4801_RS00005	930	309	
gene	protein_coding	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	1531	2409	+							LAL4801_RS00010	879		old_locus_tag=LAL4801_00002
CDS	with_protein	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	1531	2409	+	WP_023003772.1	WP_023003772.1		4-hydroxy-tetrahydrodipicolinate synthase			LAL4801_RS00010	879	292	
gene	protein_coding	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	2514	2993	+					smpB		LAL4801_RS00015	480		old_locus_tag=LAL4801_00003
CDS	with_protein	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	2514	2993	+	WP_023003773.1	WP_023003773.1		SsrA-binding protein SmpB	smpB		LAL4801_RS00015	480	159	
gene	protein_coding	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	3181	3639	-							LAL4801_RS00020	459		old_locus_tag=LAL4801_00004
CDS	with_protein	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	3181	3639	-	WP_055653420.1	WP_055653420.1		acyl-CoA thioesterase			LAL4801_RS00020	459	152	
gene	protein_coding	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	3636	4796	-							LAL4801_RS00025	1161		old_locus_tag=LAL4801_00005
CDS	with_protein	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	3636	4796	-	WP_145903556.1	WP_145903556.1		iron-containing alcohol dehydrogenase			LAL4801_RS00025	1161	386	
gene	protein_coding	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	4928	5335	-							LAL4801_RS00030	408		old_locus_tag=LAL4801_00006
CDS	with_protein	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	4928	5335	-	WP_055653425.1	WP_055653425.1		DUF2000 family protein			LAL4801_RS00030	408	135	
gene	protein_coding	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	5334	6242	+							LAL4801_RS00035	909		old_locus_tag=LAL4801_00007
CDS	with_protein	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	5334	6242	+	WP_055653426.1	WP_055653426.1		AraC family transcriptional regulator			LAL4801_RS00035	909	302	
gene	protein_coding	GCF_001403915.1	Primary Assembly	unplaced scaffold		NZ_CXST01000001.1	6273	8525	-					parC		LAL4801_RS00040	2253		old_locus_tag=LAL4801_00008
