# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	477	1832	+					dnaA		CLSAP_RS00005	1356		old_locus_tag=CLSAP_00010
CDS	with_protein	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	477	1832	+	WP_077359634.1	WP_077359634.1		chromosomal replication initiator protein DnaA	dnaA		CLSAP_RS00005	1356	451	
gene	protein_coding	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	2094	3194	+							CLSAP_RS00010	1101		old_locus_tag=CLSAP_00020
CDS	with_protein	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	2094	3194	+	WP_077359636.1	WP_077359636.1		DNA polymerase III subunit beta			CLSAP_RS00010	1101	366	
gene	protein_coding	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	3231	3437	+							CLSAP_RS00015	207		old_locus_tag=CLSAP_00030
CDS	with_protein	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	3231	3437	+	WP_077359638.1	WP_077359638.1		RNA-binding S4 domain-containing protein			CLSAP_RS00015	207	68	
gene	protein_coding	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	3509	4591	+					recF		CLSAP_RS00020	1083		old_locus_tag=CLSAP_00040
CDS	with_protein	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	3509	4591	+	WP_077359639.1	WP_077359639.1		DNA replication/repair protein RecF	recF		CLSAP_RS00020	1083	360	
gene	protein_coding	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	4606	4866	+							CLSAP_RS00025	261		old_locus_tag=CLSAP_00050
CDS	with_protein	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	4606	4866	+	WP_015390186.1	WP_015390186.1		DUF370 domain-containing protein			CLSAP_RS00025	261	86	
gene	protein_coding	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	4919	6826	+					gyrB		CLSAP_RS00030	1908		old_locus_tag=CLSAP_00060
CDS	with_protein	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	4919	6826	+	WP_077359641.1	WP_077359641.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CLSAP_RS00030	1908	635	
gene	protein_coding	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	6848	9319	+					gyrA		CLSAP_RS00035	2472		old_locus_tag=CLSAP_00070
CDS	with_protein	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	6848	9319	+	WP_077359643.1	WP_077359643.1		DNA gyrase subunit A	gyrA		CLSAP_RS00035	2472	823	
gene	rRNA	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	9815	11327	+							CLSAP_RS00040	1513		old_locus_tag=CLSAP_00080
rRNA		GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	9815	11327	+				16S ribosomal RNA			CLSAP_RS00040	1513		
gene	tRNA	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	11465	11540	+							CLSAP_RS00045	76		old_locus_tag=CLSAP_00090
tRNA		GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	11465	11540	+				tRNA-Ala			CLSAP_RS00045	76		anticodon=TGC
gene	rRNA	GCF_002003305.1	Primary Assembly	chromosome		NZ_CP016087.1	11665	14577	+							CLSAP_RS00050	2913		old_locus_tag=CLSAP_00100
