# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000001.1	65	223	-							ACINWC136_RS05585	159		partial;pseudo;old_locus_tag=ACINWC136_3147
CDS	without_protein	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000001.1	65	223	-				hemolysin			ACINWC136_RS05585	159		partial;pseudo
gene	pseudogene	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	1	154	-							ACINWC136_RS24820	154		partial;pseudo;old_locus_tag=ACINWC136_2055
CDS	without_protein	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	1	154	-				3-oxoadipate CoA-transferase			ACINWC136_RS24820	154		partial;pseudo
gene	protein_coding	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	289	1209	-					catA		ACINWC136_RS05590	921		old_locus_tag=ACINWC136_2053
CDS	with_protein	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	289	1209	-	WP_002113693.1	WP_002113693.1		catechol 1,2-dioxygenase	catA		ACINWC136_RS05590	921	306	
gene	protein_coding	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	1372	1662	-					catC		ACINWC136_RS05595	291		old_locus_tag=ACINWC136_2052
CDS	with_protein	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	1372	1662	-	WP_000897235.1	WP_000897235.1		muconolactone Delta-isomerase	catC		ACINWC136_RS05595	291	96	
gene	protein_coding	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	1686	2792	-					catB		ACINWC136_RS05600	1107		old_locus_tag=ACINWC136_2051
CDS	with_protein	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	1686	2792	-	WP_025467469.1	WP_025467469.1		muconate/chloromuconate family cycloisomerase	catB		ACINWC136_RS05600	1107	368	
gene	protein_coding	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	2893	3807	+					catM		ACINWC136_RS05605	915		old_locus_tag=ACINWC136_2050
CDS	with_protein	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	2893	3807	+	WP_002113856.1	WP_002113856.1		LysR family transcriptional regulator	catM		ACINWC136_RS05605	915	304	
gene	protein_coding	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	3888	4682	+							ACINWC136_RS05610	795		old_locus_tag=ACINWC136_2049
CDS	with_protein	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	3888	4682	+	WP_002113679.1	WP_002113679.1		TorF family putative porin			ACINWC136_RS05610	795	264	
gene	protein_coding	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	4750	5466	-					pdhR		ACINWC136_RS05615	717		old_locus_tag=ACINWC136_2048
CDS	with_protein	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	4750	5466	-	WP_002113901.1	WP_002113901.1		FadR family transcriptional regulator	pdhR		ACINWC136_RS05615	717	238	
gene	protein_coding	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	5550	7283	-					ilvD		ACINWC136_RS05620	1734		old_locus_tag=ACINWC136_2047
CDS	with_protein	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	5550	7283	-	WP_002113765.1	WP_002113765.1		dihydroxy-acid dehydratase	ilvD		ACINWC136_RS05620	1734	577	
gene	protein_coding	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	7453	8757	+					abaQ		ACINWC136_RS05625	1305		old_locus_tag=ACINWC136_2046
CDS	with_protein	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	7453	8757	+	WP_005074187.1	WP_005074187.1		multidrug efflux MFS transporter AbaQ	abaQ		ACINWC136_RS05625	1305	434	
gene	protein_coding	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	8768	9766	+							ACINWC136_RS05630	999		old_locus_tag=ACINWC136_2045
CDS	with_protein	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	8768	9766	+	WP_002113632.1	WP_002113632.1		fumarylacetoacetate hydrolase			ACINWC136_RS05630	999	332	
gene	protein_coding	GCF_000315155.1	Primary Assembly	unplaced scaffold		NZ_AMST01000002.1	9777	11351	+							ACINWC136_RS05635	1575		old_locus_tag=ACINWC136_2044
