# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	1	771	-							LO55_RS00005	771		partial;pseudo
CDS	without_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	1	771	-				2-dehydropantoate 2-reductase			LO55_RS00005	771		partial;pseudo
gene	pseudogene	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	808	1545	-							LO55_RS25605	738		partial;pseudo
CDS	without_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	808	1545	-				fumarylacetoacetate hydrolase family protein			LO55_RS25605	738		partial;pseudo
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	1656	2015	-							LO55_RS00020	360		old_locus_tag=LO55_4
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	1656	2015	-	WP_083415057.1	WP_083415057.1		hypothetical protein			LO55_RS00020	360	119	
gene	pseudogene	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	2099	3024	+							LO55_RS00025	926		pseudo;old_locus_tag=LO55_5
CDS	without_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	2099	3024	+				LysR family transcriptional regulator			LO55_RS00025	926		pseudo
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	3215	3370	+							LO55_RS26590	156		old_locus_tag=LO55_6
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	3215	3370	+	WP_005669059.1	WP_005669059.1		hypothetical protein			LO55_RS26590	156	51	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	3401	4333	-							LO55_RS00030	933		old_locus_tag=LO55_7
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	3401	4333	-	WP_071359959.1	WP_071359959.1		histone deacetylase family protein			LO55_RS00030	933	310	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	4365	5252	-							LO55_RS00035	888		old_locus_tag=LO55_8
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	4365	5252	-	WP_005669056.1	WP_005669056.1		2-hydroxy-3-oxopropionate reductase			LO55_RS00035	888	295	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	5284	6069	-					hyi		LO55_RS00040	786		old_locus_tag=LO55_9
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	5284	6069	-	WP_071359960.1	WP_071359960.1		hydroxypyruvate isomerase	hyi		LO55_RS00040	786	261	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	6103	7845	-					gcl		LO55_RS00045	1743		old_locus_tag=LO55_10
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	6103	7845	-	WP_071359961.1	WP_071359961.1		glyoxylate carboligase	gcl		LO55_RS00045	1743	580	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	7967	8920	+							LO55_RS00050	954		old_locus_tag=LO55_12
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	7967	8920	+	WP_071359962.1	WP_071359962.1		LysR family transcriptional regulator			LO55_RS00050	954	317	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	8917	10164	-					frc		LO55_RS00055	1248		old_locus_tag=LO55_11
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	8917	10164	-	WP_005669050.1	WP_005669050.1		formyl-CoA transferase	frc		LO55_RS00055	1248	415	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	10432	11754	-					oxlT		LO55_RS00060	1323		old_locus_tag=LO55_13
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	10432	11754	-	WP_005669048.1	WP_005669048.1		oxalate/formate MFS antiporter	oxlT		LO55_RS00060	1323	440	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	12425	13519	-							LO55_RS00065	1095		old_locus_tag=LO55_14
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	12425	13519	-	WP_071359963.1	WP_071359963.1		phophatidylserine decarboxylase associated domain-containing protein			LO55_RS00065	1095	364	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	13749	14435	+							LO55_RS00070	687		old_locus_tag=LO55_15
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	13749	14435	+	WP_005669045.1	WP_005669045.1		response regulator transcription factor			LO55_RS00070	687	228	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	14488	15153	-							LO55_RS00075	666		old_locus_tag=LO55_16
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	14488	15153	-	WP_143054627.1	WP_143054627.1		hypothetical protein			LO55_RS00075	666	221	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	15183	16016	-							LO55_RS00080	834		old_locus_tag=LO55_17
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	15183	16016	-	WP_071359964.1	WP_071359964.1		MipA/OmpV family protein			LO55_RS00080	834	277	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	16522	17823	+							LO55_RS00085	1302		old_locus_tag=LO55_18
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	16522	17823	+	WP_071359965.1	WP_071359965.1		two-component sensor histidine kinase			LO55_RS00085	1302	433	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	17820	19031	+							LO55_RS00090	1212		old_locus_tag=LO55_19
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	17820	19031	+	WP_071359966.1	WP_071359966.1		MFS transporter			LO55_RS00090	1212	403	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	19093	19437	-							LO55_RS00095	345		old_locus_tag=LO55_20
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	19093	19437	-	WP_071359967.1	WP_071359967.1		hypothetical protein			LO55_RS00095	345	114	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	19434	20096	-							LO55_RS00100	663		old_locus_tag=LO55_21
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	19434	20096	-	WP_005669033.1	WP_005669033.1		thiol:disulfide interchange protein DsbA/DsbL			LO55_RS00100	663	220	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	20249	21124	-							LO55_RS00105	876		old_locus_tag=LO55_22
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	20249	21124	-	WP_071359968.1	WP_071359968.1		cobalamin-binding protein			LO55_RS00105	876	291	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	21129	23021	-							LO55_RS00110	1893		old_locus_tag=LO55_23
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	21129	23021	-	WP_071359969.1	WP_071359969.1		TonB-dependent receptor			LO55_RS00110	1893	630	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	23486	24310	+							LO55_RS00115	825		old_locus_tag=LO55_25
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	23486	24310	+	WP_071359970.1	WP_071359970.1		dioxygenase			LO55_RS00115	825	274	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	24311	25258	-					ylqF		LO55_RS00120	948		old_locus_tag=LO55_24
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	24311	25258	-	WP_083415059.1	WP_083415059.1		ribosome biogenesis GTPase YlqF	ylqF		LO55_RS00120	948	315	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	25544	26740	-							LO55_RS00125	1197		old_locus_tag=LO55_26
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	25544	26740	-	WP_071359972.1	WP_071359972.1		hypothetical protein			LO55_RS00125	1197	398	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	26750	27622	-							LO55_RS00130	873		old_locus_tag=LO55_28
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	26750	27622	-	WP_071359973.1	WP_071359973.1		hypothetical protein			LO55_RS00130	873	290	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	27746	28678	-							LO55_RS00135	933		old_locus_tag=LO55_29
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	27746	28678	-	WP_005669018.1	WP_005669018.1		histone deacetylase family protein			LO55_RS00135	933	310	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	28880	29800	+							LO55_RS00140	921		old_locus_tag=LO55_30
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	28880	29800	+	WP_005669016.1	WP_005669016.1		MoxR family ATPase			LO55_RS00140	921	306	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	29800	30831	+							LO55_RS00145	1032		old_locus_tag=LO55_31
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	29800	30831	+	WP_071359974.1	WP_071359974.1		DUF58 domain-containing protein			LO55_RS00145	1032	343	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	30828	32822	+							LO55_RS00150	1995		old_locus_tag=LO55_32
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	30828	32822	+	WP_071359975.1	WP_071359975.1		DUF3488 and transglutaminase-like domain-containing protein			LO55_RS00150	1995	664	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	32819	33904	+					mltB		LO55_RS00155	1086		old_locus_tag=LO55_33
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	32819	33904	+	WP_071359976.1	WP_071359976.1		lytic murein transglycosylase B	mltB		LO55_RS00155	1086	361	
gene	protein_coding	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	34358	34696	+							LO55_RS00160	339		old_locus_tag=LO55_34
CDS	with_protein	GCF_001866515.1	Primary Assembly	unplaced scaffold		NZ_JRYB01000001.1	34358	34696	+	WP_005669009.1	WP_005669009.1		hypothetical protein			LO55_RS00160	339	112	
