# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	427	1821	+					dnaA		EXIG_RS00005	1395		old_locus_tag=Exig_0001
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	427	1821	+	WP_012368915.1	WP_012368915.1		chromosomal replication initiator protein DnaA	dnaA		EXIG_RS00005	1395	464	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	2009	3142	+					dnaN		EXIG_RS00010	1134		old_locus_tag=Exig_0002
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	2009	3142	+	WP_012368916.1	WP_012368916.1		DNA polymerase III subunit beta	dnaN		EXIG_RS00010	1134	377	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	3283	3504	+					yaaA		EXIG_RS00015	222		old_locus_tag=Exig_0003
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	3283	3504	+	WP_012368917.1	WP_012368917.1		S4 domain-containing protein YaaA	yaaA		EXIG_RS00015	222	73	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	3506	4660	+					recF		EXIG_RS00020	1155		old_locus_tag=Exig_0004
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	3506	4660	+	WP_012368918.1	WP_012368918.1		DNA replication/repair protein RecF	recF		EXIG_RS00020	1155	384	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	4671	6584	+					gyrB		EXIG_RS00025	1914		old_locus_tag=Exig_0005
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	4671	6584	+	WP_200859023.1	WP_200859023.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		EXIG_RS00025	1914	637	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	6612	9272	+					gyrA		EXIG_RS00030	2661		old_locus_tag=Exig_0006
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	6612	9272	+	WP_012368920.1	WP_012368920.1		DNA gyrase subunit A	gyrA		EXIG_RS00030	2661	886	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	9365	10411	+							EXIG_RS00035	1047		old_locus_tag=Exig_0007
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	9365	10411	+	WP_012368921.1	WP_012368921.1		phosphohydrolase			EXIG_RS00035	1047	348	
gene	rRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	10772	12333	+							EXIG_RS00040	1562		old_locus_tag=Exig_R0001
rRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	10772	12333	+				16S ribosomal RNA			EXIG_RS00040	1562		
gene	rRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	12501	15415	+							EXIG_RS00045	2915		old_locus_tag=Exig_R0002
rRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	12501	15415	+				23S ribosomal RNA			EXIG_RS00045	2915		
gene	rRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	15463	15578	+					rrf		EXIG_RS00050	116		old_locus_tag=Exig_R0003
rRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	15463	15578	+				5S ribosomal RNA	rrf		EXIG_RS00050	116		
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	15734	17200	+					guaB		EXIG_RS00055	1467		old_locus_tag=Exig_0008
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	15734	17200	+	WP_012368922.1	WP_012368922.1		IMP dehydrogenase	guaB		EXIG_RS00055	1467	488	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	17262	18656	-							EXIG_RS00060	1395		old_locus_tag=Exig_0009
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	17262	18656	-	WP_012368923.1	WP_012368923.1		PLP-dependent aminotransferase family protein			EXIG_RS00060	1395	464	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	18787	19674	+					pdxS		EXIG_RS00065	888		old_locus_tag=Exig_0010
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	18787	19674	+	WP_200859024.1	WP_200859024.1		pyridoxal 5'-phosphate synthase lyase subunit PdxS	pdxS		EXIG_RS00065	888	295	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	19668	20246	+					pdxT		EXIG_RS00070	579		old_locus_tag=Exig_0011
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	19668	20246	+	WP_012368925.1	WP_012368925.1		pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	pdxT		EXIG_RS00070	579	192	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	20341	21588	+							EXIG_RS00075	1248		old_locus_tag=Exig_0012
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	20341	21588	+	WP_012368926.1	WP_012368926.1		D-alanyl-D-alanine carboxypeptidase			EXIG_RS00075	1248	415	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	21872	23149	+					serS		EXIG_RS00080	1278		old_locus_tag=Exig_0013
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	21872	23149	+	WP_012368927.1	WP_012368927.1		serine--tRNA ligase	serS		EXIG_RS00080	1278	425	
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	23287	23377	+							EXIG_RS00085	91		old_locus_tag=Exig_R0005
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	23287	23377	+				tRNA-Ser			EXIG_RS00085	91		anticodon=TGA
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	23413	23503	+							EXIG_RS00090	91		old_locus_tag=Exig_R0006
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	23413	23503	+				tRNA-Ser			EXIG_RS00090	91		anticodon=TGA
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	23539	23628	+							EXIG_RS00095	90		old_locus_tag=Exig_R0007
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	23539	23628	+				tRNA-Ser			EXIG_RS00095	90		anticodon=CGA
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	23864	24199	+							EXIG_RS15655	336		old_locus_tag=Exig_0014
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	23864	24199	+	WP_081432731.1	WP_081432731.1		hypothetical protein			EXIG_RS15655	336	111	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	24238	24915	-							EXIG_RS00105	678		old_locus_tag=Exig_0015
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	24238	24915	-	WP_012368928.1	WP_012368928.1		deoxynucleoside kinase			EXIG_RS00105	678	225	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	24912	25541	-							EXIG_RS00110	630		old_locus_tag=Exig_0016
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	24912	25541	-	WP_012368929.1	WP_012368929.1		deoxynucleoside kinase			EXIG_RS00110	630	209	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	25650	26156	+							EXIG_RS00115	507		old_locus_tag=Exig_0017
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	25650	26156	+	WP_041261387.1	WP_041261387.1		tRNA adenosine(34) deaminase TadA			EXIG_RS00115	507	168	
gene	SRP_RNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	26205	26471	+					ffs		EXIG_RS15660	267		
ncRNA	SRP_RNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	26205	26471	+				signal recognition particle sRNA large type	ffs		EXIG_RS15660	267		
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	26567	28252	+					dnaX		EXIG_RS00120	1686		old_locus_tag=Exig_0018
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	26567	28252	+	WP_012368931.1	WP_012368931.1		DNA polymerase III subunit gamma/tau	dnaX		EXIG_RS00120	1686	561	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	28276	28596	+							EXIG_RS00125	321		old_locus_tag=Exig_0019
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	28276	28596	+	WP_012368932.1	WP_012368932.1		YbaB/EbfC family nucleoid-associated protein			EXIG_RS00125	321	106	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	28615	29214	+					recR		EXIG_RS00130	600		old_locus_tag=Exig_0020
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	28615	29214	+	WP_012368933.1	WP_012368933.1		recombination mediator RecR	recR		EXIG_RS00130	600	199	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	29211	29435	+							EXIG_RS00135	225		old_locus_tag=Exig_0021
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	29211	29435	+	WP_012368934.1	WP_012368934.1		YaaL family protein			EXIG_RS00135	225	74	
gene	rRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	29783	31344	+							EXIG_RS00140	1562		old_locus_tag=Exig_R0009
rRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	29783	31344	+				16S ribosomal RNA			EXIG_RS00140	1562		
gene	rRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	31513	34427	+							EXIG_RS00145	2915		old_locus_tag=Exig_R0010
rRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	31513	34427	+				23S ribosomal RNA			EXIG_RS00145	2915		
gene	rRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	34475	34590	+					rrf		EXIG_RS00150	116		old_locus_tag=Exig_R0011
rRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	34475	34590	+				5S ribosomal RNA	rrf		EXIG_RS00150	116		
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	34663	34738	+							EXIG_RS00155	76		old_locus_tag=Exig_R0012
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	34663	34738	+				tRNA-Asp			EXIG_RS00155	76		anticodon=GTC
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	34766	34841	+							EXIG_RS00160	76		old_locus_tag=Exig_R0013
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	34766	34841	+				tRNA-Phe			EXIG_RS00160	76		anticodon=GAA
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	34850	34925	+							EXIG_RS00165	76		old_locus_tag=Exig_R0014
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	34850	34925	+				tRNA-Thr			EXIG_RS00165	76		anticodon=TGT
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	34936	35011	+							EXIG_RS00170	76		old_locus_tag=Exig_R0015
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	34936	35011	+				tRNA-His			EXIG_RS00170	76		anticodon=GTG
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35036	35111	+							EXIG_RS00175	76		old_locus_tag=Exig_R0016
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35036	35111	+				tRNA-Lys			EXIG_RS00175	76		anticodon=TTT
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35121	35204	+							EXIG_RS00180	84		old_locus_tag=Exig_R0017
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35121	35204	+				tRNA-Leu			EXIG_RS00180	84		anticodon=TAG
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35215	35289	+							EXIG_RS00185	75		old_locus_tag=Exig_R0018
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35215	35289	+				tRNA-Gly			EXIG_RS00185	75		anticodon=GCC
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35325	35407	+							EXIG_RS00190	83		old_locus_tag=Exig_R0019
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35325	35407	+				tRNA-Leu			EXIG_RS00190	83		anticodon=GAG
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35416	35489	+							EXIG_RS00195	74		old_locus_tag=Exig_R0020
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35416	35489	+				tRNA-Arg			EXIG_RS00195	74		anticodon=ACG
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35495	35571	+							EXIG_RS00200	77		old_locus_tag=Exig_R0021
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35495	35571	+				tRNA-Pro			EXIG_RS00200	77		anticodon=TGG
gene	rRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35699	37260	+							EXIG_RS00205	1562		old_locus_tag=Exig_R0022
rRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	35699	37260	+				16S ribosomal RNA			EXIG_RS00205	1562		
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	37343	37419	+							EXIG_RS00210	77		old_locus_tag=Exig_R0023
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	37343	37419	+				tRNA-Ile			EXIG_RS00210	77		anticodon=GAT
gene	tRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	37438	37510	+							EXIG_RS00215	73		old_locus_tag=Exig_R0024
tRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	37438	37510	+				tRNA-Ala			EXIG_RS00215	73		anticodon=TGC
gene	rRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	37628	40542	+							EXIG_RS00220	2915		old_locus_tag=Exig_R0025
rRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	37628	40542	+				23S ribosomal RNA			EXIG_RS00220	2915		
gene	rRNA	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	40590	40705	+					rrf		EXIG_RS00225	116		old_locus_tag=Exig_R0026
rRNA		GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	40590	40705	+				5S ribosomal RNA	rrf		EXIG_RS00225	116		
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	40787	42196	+							EXIG_RS00230	1410		old_locus_tag=Exig_0022
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	40787	42196	+	WP_012368935.1	WP_012368935.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme			EXIG_RS00230	1410	469	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	42193	42831	+							EXIG_RS00235	639		old_locus_tag=Exig_0023
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	42193	42831	+	WP_012368936.1	WP_012368936.1		dTMP kinase			EXIG_RS00235	639	212	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	42828	43157	+							EXIG_RS00240	330		old_locus_tag=Exig_0024
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	42828	43157	+	WP_012368937.1	WP_012368937.1		cyclic-di-AMP receptor			EXIG_RS00240	330	109	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	43157	44149	+							EXIG_RS00245	993		old_locus_tag=Exig_0025
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	43157	44149	+	WP_012368938.1	WP_012368938.1		DNA polymerase III subunit delta'			EXIG_RS00245	993	330	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	44156	44986	+							EXIG_RS00250	831		old_locus_tag=Exig_0026
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	44156	44986	+	WP_012368939.1	WP_012368939.1		stage 0 sporulation family protein			EXIG_RS00250	831	276	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	45010	45345	+					yabA		EXIG_RS00255	336		old_locus_tag=Exig_0027
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	45010	45345	+	WP_148206653.1	WP_148206653.1		DNA replication initiation control protein YabA	yabA		EXIG_RS00255	336	111	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	45395	46132	+							EXIG_RS00260	738		old_locus_tag=Exig_0028
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	45395	46132	+	WP_012368941.1	WP_012368941.1		tRNA1(Val) (adenine(37)-N6)-methyltransferase			EXIG_RS00260	738	245	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	46125	46403	+							EXIG_RS00265	279		old_locus_tag=Exig_0029
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	46125	46403	+	WP_012368942.1	WP_012368942.1		GIY-YIG nuclease family protein			EXIG_RS00265	279	92	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	46381	47235	+					rsmI		EXIG_RS00270	855		old_locus_tag=Exig_0030
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	46381	47235	+	WP_012368943.1	WP_012368943.1		16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI		EXIG_RS00270	855	284	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	47273	47569	-							EXIG_RS00275	297		old_locus_tag=Exig_0031
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	47273	47569	-	WP_012368944.1	WP_012368944.1		AbrB/MazE/SpoVT family DNA-binding domain-containing protein			EXIG_RS00275	297	98	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	47910	49865	+					metG		EXIG_RS00280	1956		old_locus_tag=Exig_0032
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	47910	49865	+	WP_012368945.1	WP_012368945.1		methionine--tRNA ligase	metG		EXIG_RS00280	1956	651	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	49925	50692	+							EXIG_RS00285	768		old_locus_tag=Exig_0033
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	49925	50692	+	WP_012368946.1	WP_012368946.1		TatD family hydrolase			EXIG_RS00285	768	255	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	50689	51978	+							EXIG_RS00290	1290		old_locus_tag=Exig_0034
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	50689	51978	+	WP_012368947.1	WP_012368947.1		3D domain-containing protein			EXIG_RS00290	1290	429	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	52048	52605	+					rnmV		EXIG_RS00295	558		old_locus_tag=Exig_0035
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	52048	52605	+	WP_041261773.1	WP_041261773.1		ribonuclease M5	rnmV		EXIG_RS00295	558	185	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	52602	53480	+					rsmA		EXIG_RS00300	879		old_locus_tag=Exig_0036
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	52602	53480	+	WP_012368949.1	WP_012368949.1		16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA		EXIG_RS00300	879	292	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	53565	53804	+							EXIG_RS00305	240		old_locus_tag=Exig_0037
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	53565	53804	+	WP_012368950.1	WP_012368950.1		hypothetical protein			EXIG_RS00305	240	79	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	53901	54761	+							EXIG_RS00310	861		old_locus_tag=Exig_0038
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	53901	54761	+	WP_012368951.1	WP_012368951.1		4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase			EXIG_RS00310	861	286	
gene	protein_coding	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	54831	55670	+					purR		EXIG_RS00315	840		old_locus_tag=Exig_0039
CDS	with_protein	GCF_000019905.1	Primary Assembly	chromosome		NC_010556.1	54831	55670	+	WP_012368952.1	WP_012368952.1		pur operon repressor	purR		EXIG_RS00315	840	279	
