# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	21	1367	+					dnaA		DESTI_RS00015	1347		old_locus_tag=Desti_0001
CDS	with_protein	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	21	1367	+	WP_014807912.1	WP_014807912.1		chromosomal replication initiator protein DnaA	dnaA		DESTI_RS00015	1347	448	
gene	protein_coding	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	1692	2786	+					dnaN		DESTI_RS00025	1095		old_locus_tag=Desti_0002
CDS	with_protein	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	1692	2786	+	WP_014807913.1	WP_014807913.1		DNA polymerase III subunit beta	dnaN		DESTI_RS00025	1095	364	
gene	protein_coding	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	2900	5329	+					gyrB		DESTI_RS00030	2430		old_locus_tag=Desti_0003
CDS	with_protein	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	2900	5329	+	WP_014807914.1	WP_014807914.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		DESTI_RS00030	2430	809	
gene	protein_coding	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	5488	6192	-							DESTI_RS00035	705		old_locus_tag=Desti_0004
CDS	with_protein	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	5488	6192	-	WP_014807915.1	WP_014807915.1		hypothetical protein			DESTI_RS00035	705	234	
gene	protein_coding	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	6411	7124	-							DESTI_RS00040	714		old_locus_tag=Desti_0005
CDS	with_protein	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	6411	7124	-	WP_014807916.1	WP_014807916.1		rhomboid family intramembrane serine protease			DESTI_RS00040	714	237	
gene	protein_coding	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	7500	8363	-							DESTI_RS00045	864		old_locus_tag=Desti_0006
CDS	with_protein	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	7500	8363	-	WP_014807917.1	WP_014807917.1		Mrp/NBP35 family ATP-binding protein			DESTI_RS00045	864	287	
gene	protein_coding	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	8704	9597	-							DESTI_RS00055	894		old_locus_tag=Desti_0008
CDS	with_protein	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	8704	9597	-	WP_014807919.1	WP_014807919.1		CoB--CoM heterodisulfide reductase iron-sulfur subunit B family protein			DESTI_RS00055	894	297	
gene	protein_coding	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	9634	10095	-							DESTI_RS28145	462		old_locus_tag=Desti_0009
CDS	with_protein	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	9634	10095	-	WP_014807920.1	WP_014807920.1		4Fe-4S dicluster domain-containing protein			DESTI_RS28145	462	153	
gene	protein_coding	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	10092	12533	-							DESTI_RS00065	2442		old_locus_tag=Desti_0010
CDS	with_protein	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	10092	12533	-	WP_014807921.1	WP_014807921.1		hydrogenase iron-sulfur subunit			DESTI_RS00065	2442	813	
gene	protein_coding	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	12680	13246	-							DESTI_RS00070	567		old_locus_tag=Desti_0011
CDS	with_protein	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	12680	13246	-	WP_014807922.1	WP_014807922.1		2-oxoacid:acceptor oxidoreductase family protein			DESTI_RS00070	567	188	
gene	protein_coding	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	13243	14166	-							DESTI_RS00075	924		old_locus_tag=Desti_0012
CDS	with_protein	GCF_000266945.1	Primary Assembly	chromosome		NC_018025.1	13243	14166	-	WP_014807923.1	WP_014807923.1		2-oxoacid ferredoxin oxidoreductase subunit beta			DESTI_RS00075	924	307	
