# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000261765.1	Primary Assembly	unplaced scaffold		NZ_AJQI01000001.1	431	850	-							IC41_RS00005	420		
CDS	with_protein	GCF_000261765.1	Primary Assembly	unplaced scaffold		NZ_AJQI01000001.1	431	850	-	WP_162494259.1	WP_162494259.1		response regulator			IC41_RS00005	420	139	
gene	protein_coding	GCF_000261765.1	Primary Assembly	unplaced scaffold		NZ_AJQI01000001.1	1355	2065	+							IC41_RS00010	711		
CDS	with_protein	GCF_000261765.1	Primary Assembly	unplaced scaffold		NZ_AJQI01000001.1	1355	2065	+	WP_011083227.1	WP_011083227.1		Crp/Fnr family transcriptional regulator			IC41_RS00010	711	236	
gene	protein_coding	GCF_000261765.1	Primary Assembly	unplaced scaffold		NZ_AJQI01000001.1	2258	2956	+							IC41_RS00015	699		
CDS	with_protein	GCF_000261765.1	Primary Assembly	unplaced scaffold		NZ_AJQI01000001.1	2258	2956	+	WP_171463725.1	WP_171463725.1		Crp/Fnr family transcriptional regulator			IC41_RS00015	699	232	
gene	protein_coding	GCF_000261765.1	Primary Assembly	unplaced scaffold		NZ_AJQI01000001.1	3113	3490	+							IC41_RS00020	378		
CDS	with_protein	GCF_000261765.1	Primary Assembly	unplaced scaffold		NZ_AJQI01000001.1	3113	3490	+	WP_038965048.1	WP_038965048.1		Hpt domain-containing protein			IC41_RS00020	378	125	
gene	protein_coding	GCF_000261765.1	Primary Assembly	unplaced scaffold		NZ_AJQI01000001.1	3588	3836	+							IC41_RS00025	249		
CDS	with_protein	GCF_000261765.1	Primary Assembly	unplaced scaffold		NZ_AJQI01000001.1	3588	3836	+	WP_011083230.1	WP_011083230.1		hypothetical protein			IC41_RS00025	249	82	
