# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	17	129	+					rrf		BW37_RS00005	113		old_locus_tag=BW37_00001
rRNA		GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	17	129	+				5S ribosomal RNA	rrf		BW37_RS00005	113		
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	351	911	-							BW37_RS00010	561		old_locus_tag=BW37_00002
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	351	911	-	WP_034745449.1	WP_034745449.1		acyloxyacyl hydrolase			BW37_RS00010	561	186	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	1216	2076	+							BW37_RS00015	861		old_locus_tag=BW37_00003
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	1216	2076	+	WP_152546342.1	WP_152546342.1		NAD(P)-dependent oxidoreductase			BW37_RS00015	861	286	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	2078	3271	-							BW37_RS00020	1194		old_locus_tag=BW37_00004
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	2078	3271	-	WP_034745457.1	WP_034745457.1		M20 family metallopeptidase			BW37_RS00020	1194	397	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	3478	5553	+							BW37_RS00025	2076		old_locus_tag=BW37_00005
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	3478	5553	+	WP_034745460.1	WP_034745460.1		molybdopterin oxidoreductase family protein			BW37_RS00025	2076	691	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	5556	6605	+							BW37_RS00030	1050		old_locus_tag=BW37_00006
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	5556	6605	+	WP_080698371.1	WP_080698371.1		aminopeptidase			BW37_RS00030	1050	349	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	6882	8564	+							BW37_RS00035	1683		old_locus_tag=BW37_00007
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	6882	8564	+	WP_034745464.1	WP_034745464.1		long-chain fatty acid--CoA ligase			BW37_RS00035	1683	560	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	8625	10307	+							BW37_RS00040	1683		old_locus_tag=BW37_00008
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	8625	10307	+	WP_034745466.1	WP_034745466.1		long-chain-fatty-acid--CoA ligase			BW37_RS00040	1683	560	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	10304	11476	-							BW37_RS00045	1173		old_locus_tag=BW37_00009
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	10304	11476	-	WP_051990705.1	WP_051990705.1		acyltransferase family protein			BW37_RS00045	1173	390	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	11632	12498	+							BW37_RS00050	867		old_locus_tag=BW37_00010
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	11632	12498	+	WP_034745468.1	WP_034745468.1		LytTR family transcriptional regulator			BW37_RS00050	867	288	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	12495	14087	-							BW37_RS00055	1593		old_locus_tag=BW37_00011
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	12495	14087	-	WP_034745470.1	WP_034745470.1		alkaline phosphatase D family protein			BW37_RS00055	1593	530	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	14109	14549	-							BW37_RS00060	441		old_locus_tag=BW37_00012
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	14109	14549	-	WP_046684548.1	WP_046684548.1		acyl-CoA thioesterase			BW37_RS00060	441	146	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	14611	16461	+							BW37_RS00065	1851		old_locus_tag=BW37_00013
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	14611	16461	+	WP_034747574.1	WP_034747574.1		ABC transporter ATP-binding protein/permease			BW37_RS00065	1851	616	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	16657	17613	+							BW37_RS00070	957		old_locus_tag=BW37_00014
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	16657	17613	+	WP_034745472.1	WP_034745472.1		amino acid ABC transporter substrate-binding protein			BW37_RS00070	957	318	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	17712	18461	+							BW37_RS00075	750		old_locus_tag=BW37_00015
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	17712	18461	+	WP_034747577.1	WP_034747577.1		amino acid ABC transporter permease			BW37_RS00075	750	249	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	18463	19155	+							BW37_RS00080	693		old_locus_tag=BW37_00016
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	18463	19155	+	WP_034745474.1	WP_034745474.1		ABC transporter permease subunit			BW37_RS00080	693	230	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	19175	19900	+							BW37_RS00085	726		old_locus_tag=BW37_00017
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	19175	19900	+	WP_034745477.1	WP_034745477.1		amino acid ABC transporter ATP-binding protein			BW37_RS00085	726	241	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	19929	21386	+							BW37_RS00090	1458		old_locus_tag=BW37_00018
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	19929	21386	+	WP_034745480.1	WP_034745480.1		amidohydrolase family protein			BW37_RS00090	1458	485	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	21538	22590	+					pyrC		BW37_RS00095	1053		old_locus_tag=BW37_00019
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	21538	22590	+	WP_034745484.1	WP_034745484.1		dihydroorotase	pyrC		BW37_RS00095	1053	350	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	22597	23415	+							BW37_RS00100	819		old_locus_tag=BW37_00020
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	22597	23415	+	WP_034745487.1	WP_034745487.1		DUF3025 domain-containing protein			BW37_RS00100	819	272	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	23417	24406	+							BW37_RS00105	990		old_locus_tag=BW37_00021
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	23417	24406	+	WP_034745490.1	WP_034745490.1		Gfo/Idh/MocA family oxidoreductase			BW37_RS00105	990	329	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	24418	25632	+							BW37_RS00110	1215		old_locus_tag=BW37_00022
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	24418	25632	+	WP_080698372.1	WP_080698372.1		MFS transporter			BW37_RS00110	1215	404	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	25954	26445	+							BW37_RS00115	492		
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	25954	26445	+	WP_034745493.1	WP_034745493.1		transposase			BW37_RS00115	492	163	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	26555	28657	-					recG		BW37_RS00120	2103		old_locus_tag=BW37_00024
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	26555	28657	-	WP_080698373.1	WP_080698373.1		ATP-dependent DNA helicase RecG	recG		BW37_RS00120	2103	700	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	28836	29891	+					queA		BW37_RS00125	1056		old_locus_tag=BW37_00025
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	28836	29891	+	WP_034745496.1	WP_034745496.1		tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	queA		BW37_RS00125	1056	351	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	29893	31032	+					tgt		BW37_RS00130	1140		old_locus_tag=BW37_00026
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	29893	31032	+	WP_034745502.1	WP_034745502.1		tRNA guanosine(34) transglycosylase Tgt	tgt		BW37_RS00130	1140	379	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	31229	31561	+					yajC		BW37_RS00135	333		old_locus_tag=BW37_00027
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	31229	31561	+	WP_034745505.1	WP_034745505.1		preprotein translocase subunit YajC	yajC		BW37_RS00135	333	110	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	31658	33523	+					secD		BW37_RS00140	1866		old_locus_tag=BW37_00028
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	31658	33523	+	WP_034745508.1	WP_034745508.1		protein translocase subunit SecD	secD		BW37_RS00140	1866	621	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	33614	34636	+					secF		BW37_RS00145	1023		old_locus_tag=BW37_00029
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	33614	34636	+	WP_034745511.1	WP_034745511.1		protein translocase subunit SecF	secF		BW37_RS00145	1023	340	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	34712	35461	+							BW37_RS00150	750		old_locus_tag=BW37_00030
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	34712	35461	+	WP_152546343.1	WP_152546343.1		hypothetical protein			BW37_RS00150	750	249	
gene	protein_coding	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	35458	36159	+							BW37_RS00155	702		old_locus_tag=BW37_00031
CDS	with_protein	GCF_000632025.1	Primary Assembly	unplaced scaffold		NZ_JFYR01000001.1	35458	36159	+	WP_034745516.1	WP_034745516.1		YafY family transcriptional regulator			BW37_RS00155	702	233	
