# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	57	1016	-							BAE38_RS00005	960		old_locus_tag=BAE38_00005
CDS	with_protein	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	57	1016	-	WP_020629135.1	WP_020629135.1		calcium-binding protein			BAE38_RS00005	960	319	
gene	protein_coding	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	1444	1806	+							BAE38_RS32760	363		old_locus_tag=BAE38_00015
CDS	with_protein	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	1444	1806	+	WP_019863225.1	WP_019863225.1		hypothetical protein			BAE38_RS32760	363	120	
gene	protein_coding	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	1810	1980	+							BAE38_RS33390	171		
CDS	with_protein	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	1810	1980	+	WP_019863224.1	WP_019863224.1		hypothetical protein			BAE38_RS33390	171	56	
gene	pseudogene	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	2582	3097	-							BAE38_RS00020	516		partial;pseudo;old_locus_tag=BAE38_00020
CDS	without_protein	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	2582	3097	-				site-specific integrase			BAE38_RS00020	516		partial;pseudo
gene	pseudogene	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	3284	3550	+							BAE38_RS31570	267		partial;pseudo
CDS	without_protein	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	3284	3550	+				transposase			BAE38_RS31570	267		partial;pseudo
gene	pseudogene	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	3865	5007	-							BAE38_RS00030	1143		pseudo;old_locus_tag=BAE38_00030
CDS	without_protein	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	3865	5007	-				IS110 family transposase			BAE38_RS00030	1143		pseudo
gene	protein_coding	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	5682	6380	+					queC		BAE38_RS00040	699		old_locus_tag=BAE38_00040
CDS	with_protein	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	5682	6380	+	WP_019863218.1	WP_019863218.1		7-cyano-7-deazaguanine synthase QueC	queC		BAE38_RS00040	699	232	
gene	protein_coding	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	6380	6736	+					queD		BAE38_RS00045	357		old_locus_tag=BAE38_00045
CDS	with_protein	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	6380	6736	+	WP_019863217.1	WP_019863217.1		6-carboxytetrahydropterin synthase QueD	queD		BAE38_RS00045	357	118	
gene	protein_coding	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	6733	7470	+					queE		BAE38_RS00050	738		old_locus_tag=BAE38_00050
CDS	with_protein	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	6733	7470	+	WP_019863216.1	WP_019863216.1		7-carboxy-7-deazaguanine synthase QueE	queE		BAE38_RS00050	738	245	
gene	protein_coding	GCF_001671465.1	Primary Assembly	unplaced scaffold		NZ_LZTL01000001.1	7973	9808	+					thiC		BAE38_RS00055	1836		old_locus_tag=BAE38_00055
