# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000020.1	1	2808	+							BM165_RS23660	2808		partial;old_locus_tag=SAMN05660359_04771
rRNA		GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000020.1	1	2808	+				23S ribosomal RNA			BM165_RS23660	2808		partial
gene	protein_coding	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	1	305	+							BM165_RS23500	305		partial;old_locus_tag=SAMN05660359_04740
CDS	with_protein	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	1	305	+	WP_177225287.1	WP_177225287.1		dihydrofolate reductase family protein			BM165_RS23500	305	100	partial
gene	protein_coding	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	591	1289	+							BM165_RS23505	699		old_locus_tag=SAMN05660359_04741
CDS	with_protein	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	591	1289	+	WP_083427664.1	WP_083427664.1		hypothetical protein			BM165_RS23505	699	232	
gene	protein_coding	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	1733	2335	-							BM165_RS23510	603		old_locus_tag=SAMN05660359_04742
CDS	with_protein	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	1733	2335	-	WP_075015967.1	WP_075015967.1		response regulator transcription factor			BM165_RS23510	603	200	
gene	protein_coding	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	2332	2610	-							BM165_RS23515	279		old_locus_tag=SAMN05660359_04743
CDS	with_protein	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	2332	2610	-	WP_208976865.1	WP_208976865.1		hypothetical protein			BM165_RS23515	279	92	
gene	protein_coding	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	2659	3060	-							BM165_RS23520	402		old_locus_tag=SAMN05660359_04744
CDS	with_protein	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	2659	3060	-	WP_075015973.1	WP_075015973.1		hypothetical protein			BM165_RS23520	402	133	
gene	protein_coding	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	3615	5597	+							BM165_RS23525	1983		old_locus_tag=SAMN05660359_04745
CDS	with_protein	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	3615	5597	+	WP_083427663.1	WP_083427663.1		BCCT family transporter			BM165_RS23525	1983	660	
gene	protein_coding	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	5678	6289	-							BM165_RS23530	612		old_locus_tag=SAMN05660359_04746
CDS	with_protein	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	5678	6289	-	WP_075015968.1	WP_075015968.1		TetR/AcrR family transcriptional regulator			BM165_RS23530	612	203	
gene	protein_coding	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	6311	7522	+							BM165_RS23535	1212		old_locus_tag=SAMN05660359_04747
CDS	with_protein	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	6311	7522	+	WP_075015969.1	WP_075015969.1		MFS transporter			BM165_RS23535	1212	403	
gene	protein_coding	GCF_900115395.1	Primary Assembly	unplaced scaffold		NZ_FOWE01000017.1	7499	8671	-							BM165_RS23540	1173		old_locus_tag=SAMN05660359_04748
