# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	3067372	577	+							CEP87_RS00240	630		old_locus_tag=CEP87_00240
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	3067372	577	+	WP_041753066.1	WP_041753066.1		DedA family protein			CEP87_RS00240	630	209	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	740	1204	-							CEP87_RS00245	465		old_locus_tag=CEP87_00245
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	740	1204	-	WP_011513419.1	WP_011513419.1		hypothetical protein			CEP87_RS00245	465	154	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	1340	1870	-							CEP87_RS00250	531		old_locus_tag=CEP87_00250
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	1340	1870	-	WP_011513420.1	WP_011513420.1		inorganic diphosphatase			CEP87_RS00250	531	176	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	2057	2914	-					lipB		CEP87_RS00255	858		old_locus_tag=CEP87_00255
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	2057	2914	-	WP_011513421.1	WP_011513421.1		lipoyl(octanoyl) transferase LipB	lipB		CEP87_RS00255	858	285	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	3350	4822	+							CEP87_RS00260	1473		old_locus_tag=CEP87_00260
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	3350	4822	+	WP_011513422.1	WP_011513422.1		coniferyl aldehyde dehydrogenase			CEP87_RS00260	1473	490	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	5095	7035	+							CEP87_RS00265	1941		old_locus_tag=CEP87_00265
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	5095	7035	+	WP_011513423.1	WP_011513423.1		ABC transporter permease subunit			CEP87_RS00265	1941	646	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	7145	8059	+							CEP87_RS00270	915		old_locus_tag=CEP87_00270
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	7145	8059	+	WP_011513424.1	WP_011513424.1		ATP-binding cassette domain-containing protein			CEP87_RS00270	915	304	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	8764	10500	+					msrAB		CEP87_RS00275	1737		old_locus_tag=CEP87_00275
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	8764	10500	+	WP_192941324.1	WP_192941324.1		bifunctional peptide-methionine (S)-S-oxide reductase MsrA/peptide-methionine (R)-S-oxide reductase MsrB	msrAB		CEP87_RS00275	1737	578	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	10907	12157	+					pncB		CEP87_RS00280	1251		old_locus_tag=CEP87_00280
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	10907	12157	+	WP_011513426.1	WP_011513426.1		nicotinate phosphoribosyltransferase	pncB		CEP87_RS00280	1251	416	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	12197	12442	-							CEP87_RS00285	246		old_locus_tag=CEP87_00285
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	12197	12442	-	WP_011513427.1	WP_011513427.1		hypothetical protein			CEP87_RS00285	246	81	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	12501	14045	-							CEP87_RS00290	1545		old_locus_tag=CEP87_00290
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	12501	14045	-	WP_011513428.1	WP_011513428.1		exodeoxyribonuclease VII large subunit			CEP87_RS00290	1545	514	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	14245	14613	-							CEP87_RS00295	369		old_locus_tag=CEP87_00295
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	14245	14613	-	WP_011513429.1	WP_011513429.1		hypothetical protein			CEP87_RS00295	369	122	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	14981	15640	+							CEP87_RS00300	660		old_locus_tag=CEP87_00300
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	14981	15640	+	WP_011513430.1	WP_011513430.1		alpha/beta fold hydrolase			CEP87_RS00300	660	219	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	15884	16990	+							CEP87_RS00305	1107		old_locus_tag=CEP87_00305
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	15884	16990	+	WP_041753069.1	WP_041753069.1		cell division protein ZapE			CEP87_RS00305	1107	368	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	17173	17832	+							CEP87_RS00310	660		old_locus_tag=CEP87_00310
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	17173	17832	+	WP_011513432.1	WP_011513432.1		nitroreductase			CEP87_RS00310	660	219	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	18031	19326	+							CEP87_RS00315	1296		old_locus_tag=CEP87_00315
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	18031	19326	+	WP_041753072.1	WP_041753072.1		NAD(P)H-dependent glycerol-3-phosphate dehydrogenase			CEP87_RS00315	1296	431	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	19426	19884	+					sixA		CEP87_RS00320	459		old_locus_tag=CEP87_00320
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	19426	19884	+	WP_011513434.1	WP_011513434.1		phosphohistidine phosphatase SixA	sixA		CEP87_RS00320	459	152	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	20002	21300	+							CEP87_RS00325	1299		old_locus_tag=CEP87_00325
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	20002	21300	+	WP_011513435.1	WP_011513435.1		hypothetical protein			CEP87_RS00325	1299	432	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	21303	21863	+							CEP87_RS00330	561		old_locus_tag=CEP87_00330
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	21303	21863	+	WP_011513436.1	WP_011513436.1		type II secretion system protein M			CEP87_RS00330	561	186	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	22084	22533	+							CEP87_RS00335	450		old_locus_tag=CEP87_00335
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	22084	22533	+	WP_011513437.1	WP_011513437.1		membrane protein			CEP87_RS00335	450	149	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	22870	23904	+							CEP87_RS00340	1035		old_locus_tag=CEP87_00340
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	22870	23904	+	WP_011513438.1	WP_011513438.1		quinone-dependent dihydroorotate dehydrogenase			CEP87_RS00340	1035	344	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	24003	24500	+							CEP87_RS00345	498		old_locus_tag=CEP87_00345
CDS	with_protein	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	24003	24500	+	WP_011513439.1	WP_011513439.1		CvpA family protein			CEP87_RS00345	498	165	
gene	protein_coding	GCF_002208765.2	Primary Assembly	chromosome		NZ_CP022043.2	24754	26289	+					purF		CEP87_RS00350	1536		old_locus_tag=CEP87_00350
