# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	1	268	+							GGD55_RS00005	268		partial;pseudo;old_locus_tag=GGD55_000001
CDS	without_protein	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	1	268	+				transposase			GGD55_RS00005	268		partial;pseudo
gene	protein_coding	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	578	3004	-							GGD55_RS00010	2427		old_locus_tag=GGD55_000002
CDS	with_protein	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	578	3004	-	WP_018323610.1	WP_018323610.1		phenylalanine--tRNA ligase subunit beta			GGD55_RS00010	2427	808	
gene	protein_coding	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	3061	4146	-					pheS		GGD55_RS00015	1086		old_locus_tag=GGD55_000003
CDS	with_protein	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	3061	4146	-	WP_018323611.1	WP_018323611.1		phenylalanine--tRNA ligase subunit alpha	pheS		GGD55_RS00015	1086	361	
gene	protein_coding	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	4243	4647	-					rplT		GGD55_RS00020	405		old_locus_tag=GGD55_000004
CDS	with_protein	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	4243	4647	-	WP_018323612.1	WP_018323612.1		50S ribosomal protein L20	rplT		GGD55_RS00020	405	134	
gene	protein_coding	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	4686	4889	-					rpmI		GGD55_RS00025	204		old_locus_tag=GGD55_000005
CDS	with_protein	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	4686	4889	-	WP_018323613.1	WP_018323613.1		50S ribosomal protein L35	rpmI		GGD55_RS00025	204	67	
gene	pseudogene	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	5124	5696	-					infC		GGD55_RS00030	573		pseudo;old_locus_tag=GGD55_000006
CDS	without_protein	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	5124	5696	-				translation initiation factor IF-3	infC		GGD55_RS00030	573		pseudo
gene	protein_coding	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	5691	5876	+							GGD55_RS31180	186		
CDS	with_protein	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	5691	5876	+	WP_162715729.1	WP_162715729.1		hypothetical protein			GGD55_RS31180	186	61	
gene	protein_coding	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	5876	6679	+							GGD55_RS00040	804		old_locus_tag=GGD55_000008
CDS	with_protein	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	5876	6679	+	WP_018323615.1	WP_018323615.1		alpha/beta hydrolase			GGD55_RS00040	804	267	
gene	protein_coding	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	6909	7529	+							GGD55_RS00045	621		old_locus_tag=GGD55_000009
CDS	with_protein	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	6909	7529	+	WP_026202959.1	WP_026202959.1		transglutaminase-like cysteine peptidase			GGD55_RS00045	621	206	
gene	protein_coding	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	7657	8226	+							GGD55_RS00050	570		old_locus_tag=GGD55_000010
CDS	with_protein	GCF_014200295.1	Primary Assembly	unplaced scaffold		NZ_JACHBK010000001.1	7657	8226	+	WP_026202960.1	WP_026202960.1		histidine phosphatase family protein			GGD55_RS00050	570	189	
