# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	261	1613	+					dnaA		GMET_RS00005	1353		old_locus_tag=Gmet_0001
CDS	with_protein	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	261	1613	+	WP_004513720.1	WP_004513720.1		chromosomal replication initiator protein DnaA	dnaA		GMET_RS00005	1353	450	
gene	protein_coding	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	1837	2958	+							GMET_RS00010	1122		old_locus_tag=Gmet_0002
CDS	with_protein	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	1837	2958	+	WP_004513721.1	WP_004513721.1		DNA polymerase III subunit beta			GMET_RS00010	1122	373	
gene	protein_coding	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	3041	4138	+					recF		GMET_RS00015	1098		old_locus_tag=Gmet_0003
CDS	with_protein	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	3041	4138	+	WP_004513722.1	WP_004513722.1		DNA replication/repair protein RecF	recF		GMET_RS00015	1098	365	
gene	protein_coding	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	4149	6536	+					gyrB		GMET_RS00020	2388		old_locus_tag=Gmet_0004
CDS	with_protein	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	4149	6536	+	WP_004513723.1	WP_004513723.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		GMET_RS00020	2388	795	
gene	protein_coding	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	6570	9143	+					gyrA		GMET_RS00025	2574		old_locus_tag=Gmet_0005
CDS	with_protein	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	6570	9143	+	WP_004513724.1	WP_004513724.1		DNA gyrase subunit A	gyrA		GMET_RS00025	2574	857	
gene	protein_coding	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	9219	10790	+							GMET_RS00030	1572		old_locus_tag=Gmet_0006
CDS	with_protein	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	9219	10790	+	WP_011365615.1	WP_011365615.1		HEAT repeat domain-containing protein			GMET_RS00030	1572	523	
gene	protein_coding	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	11025	12194	-							GMET_RS00035	1170		old_locus_tag=Gmet_0007
CDS	with_protein	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	11025	12194	-	WP_011365616.1	WP_011365616.1		IS481-like element ISGme9 family transposase			GMET_RS00035	1170	389	
gene	protein_coding	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	12343	13350	+							GMET_RS00040	1008		old_locus_tag=Gmet_0008
CDS	with_protein	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	12343	13350	+	WP_004513773.1	WP_004513773.1		NAD(P)-dependent glycerol-3-phosphate dehydrogenase			GMET_RS00040	1008	335	
gene	protein_coding	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	13386	15677	+							GMET_RS00045	2292		old_locus_tag=Gmet_0009
CDS	with_protein	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	13386	15677	+	WP_004513774.1	WP_004513774.1		HAMP domain-containing protein			GMET_RS00045	2292	763	
gene	protein_coding	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	15674	17200	+							GMET_RS00050	1527		old_locus_tag=Gmet_0010
CDS	with_protein	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	15674	17200	+	WP_004513775.1	WP_004513775.1		response regulator			GMET_RS00050	1527	508	
gene	protein_coding	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	17225	18676	+							GMET_RS00055	1452		old_locus_tag=Gmet_0011
CDS	with_protein	GCF_000012925.1	Primary Assembly	chromosome		NC_007517.1	17225	18676	+	WP_004513776.1	WP_004513776.1		PAS domain S-box protein			GMET_RS00055	1452	483	
