# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000100.1	1	502	-							ALW03_RS15950	502		partial;old_locus_tag=TT30_RS15840
CDS	with_protein	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000100.1	1	502	-	WP_043963492.1	WP_043963492.1		IS3 family transposase			ALW03_RS15950	502	167	partial
gene	pseudogene	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000099.1	99	515	+							ALW03_RS15945	417		partial;pseudo;old_locus_tag=TT30_RS15835
CDS	without_protein	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000099.1	99	515	+				alkyl hydroperoxide reductase subunit F			ALW03_RS15945	417		partial;pseudo
gene	pseudogene	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000098.1	1	554	+							ALW03_RS15940	554		partial;pseudo;old_locus_tag=TT30_RS15830
CDS	without_protein	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000098.1	1	554	+				RNA degradosome polyphosphate kinase			ALW03_RS15940	554		partial;pseudo
gene	protein_coding	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000097.1	30	275	+							ALW03_RS15930	246		old_locus_tag=TT30_RS15820
CDS	with_protein	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000097.1	30	275	+	WP_000246755.1	WP_000246755.1		type II toxin-antitoxin system RelB/DinJ family antitoxin			ALW03_RS15930	246	81	
gene	protein_coding	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000097.1	265	558	+							ALW03_RS15935	294		old_locus_tag=TT30_RS15825
CDS	with_protein	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000097.1	265	558	+	WP_000221358.1	WP_000221358.1		type II toxin-antitoxin system RelE/ParE family toxin			ALW03_RS15935	294	97	
gene	protein_coding	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000096.1	1	594	+							ALW03_RS15925	594		partial;old_locus_tag=TT30_RS15815
CDS	with_protein	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000096.1	1	594	+	WP_141278926.1	WP_141278926.1		thiol:disulfide interchange protein DsbA/DsbL			ALW03_RS15925	594	197	partial
gene	protein_coding	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000095.1	1	663	+							ALW03_RS15920	663		partial;old_locus_tag=TT30_RS15810
CDS	with_protein	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000095.1	1	663	+	WP_043963475.1	WP_043963475.1		IS4 family transposase			ALW03_RS15920	663	220	partial
gene	protein_coding	GCF_000836095.1	Primary Assembly	unplaced scaffold		NZ_BBSQ01000094.1	1	746	+							ALW03_RS15915	746		partial;old_locus_tag=TT30_RS15805
