# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	426	1811	+					dnaA		EAB7_RS00005	1386		old_locus_tag=Eab7_0001
CDS	with_protein	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	426	1811	+	WP_014969059.1	WP_014969059.1		chromosomal replication initiator protein DnaA	dnaA		EAB7_RS00005	1386	461	
gene	protein_coding	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	1998	3131	+					dnaN		EAB7_RS00010	1134		old_locus_tag=Eab7_0002
CDS	with_protein	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	1998	3131	+	WP_014969060.1	WP_014969060.1		DNA polymerase III subunit beta	dnaN		EAB7_RS00010	1134	377	
gene	protein_coding	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	3272	3493	+					yaaA		EAB7_RS00015	222		old_locus_tag=Eab7_0003
CDS	with_protein	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	3272	3493	+	WP_012368917.1	WP_012368917.1		S4 domain-containing protein YaaA	yaaA		EAB7_RS00015	222	73	
gene	protein_coding	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	3495	4649	+					recF		EAB7_RS00020	1155		old_locus_tag=Eab7_0004
CDS	with_protein	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	3495	4649	+	WP_014969061.1	WP_014969061.1		DNA replication/repair protein RecF	recF		EAB7_RS00020	1155	384	
gene	protein_coding	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	4660	6573	+					gyrB		EAB7_RS00025	1914		old_locus_tag=Eab7_0005
CDS	with_protein	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	4660	6573	+	WP_201770341.1	WP_201770341.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		EAB7_RS00025	1914	637	
gene	protein_coding	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	6601	9273	+					gyrA		EAB7_RS00030	2673		old_locus_tag=Eab7_0006
CDS	with_protein	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	6601	9273	+	WP_014969063.1	WP_014969063.1		DNA gyrase subunit A	gyrA		EAB7_RS00030	2673	890	
gene	protein_coding	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	9367	10413	+							EAB7_RS00035	1047		old_locus_tag=Eab7_0007
CDS	with_protein	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	9367	10413	+	WP_014969064.1	WP_014969064.1		phosphohydrolase			EAB7_RS00035	1047	348	
gene	rRNA	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	10726	12287	+							EAB7_RS00040	1562		old_locus_tag=Eab7_r01
rRNA		GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	10726	12287	+				16S ribosomal RNA			EAB7_RS00040	1562		
gene	rRNA	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	12455	15370	+							EAB7_RS00045	2916		old_locus_tag=Eab7_r02
rRNA		GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	12455	15370	+				23S ribosomal RNA			EAB7_RS00045	2916		
gene	rRNA	GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	15419	15534	+					rrf		EAB7_RS00050	116		old_locus_tag=Eab7_r03
rRNA		GCF_000299435.1	Primary Assembly	chromosome		NC_018665.1	15419	15534	+				5S ribosomal RNA	rrf		EAB7_RS00050	116		
