# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	tRNA	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000001.1	102	175	-							C5P05_RS00005	74		
tRNA		GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000001.1	102	175	-				tRNA-Gly			C5P05_RS00005	74		anticodon=CCC
gene	pseudogene	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000002.1	106	283	+							C5P05_RS00010	178		partial;pseudo
CDS	without_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000002.1	106	283	+				alpha/beta hydrolase			C5P05_RS00010	178		partial;pseudo
gene	pseudogene	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000004.1	1	255	-							C5P05_RS00015	255		partial;pseudo
CDS	without_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000004.1	1	255	-				electron transfer flavoprotein subunit beta/FixA family protein			C5P05_RS00015	255		partial;pseudo
gene	pseudogene	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000005.1	1	216	-							C5P05_RS00020	216		partial;pseudo
CDS	without_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000005.1	1	216	-				alpha/beta hydrolase			C5P05_RS00020	216		partial;pseudo
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000008.1	156	311	+							C5P05_RS00025	156		partial
CDS	with_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000008.1	156	311	+	WP_114967963.1	WP_114967963.1		DUF2239 family protein			C5P05_RS00025	156	52	partial
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000009.1	1	249	-							C5P05_RS00030	249		partial
CDS	with_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000009.1	1	249	-	WP_157979120.1	WP_157979120.1		Tn3 family transposase			C5P05_RS00030	249	83	partial
gene	pseudogene	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000010.1	1	268	+							C5P05_RS00035	268		partial;pseudo
CDS	without_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000010.1	1	268	+				amino acid ABC transporter permease			C5P05_RS00035	268		partial;pseudo
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000012.1	1	206	-							C5P05_RS00040	206		partial
CDS	with_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000012.1	1	206	-	WP_157979121.1	WP_157979121.1		hypothetical protein			C5P05_RS00040	206	68	partial
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000013.1	38	280	+							C5P05_RS00045	243		partial
CDS	with_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000013.1	38	280	+	WP_157979122.1	WP_157979122.1		hypothetical protein			C5P05_RS00045	243	81	partial
gene	pseudogene	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000016.1	1	255	-							C5P05_RS00055	255		partial;pseudo
CDS	without_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000016.1	1	255	-				efflux RND transporter periplasmic adaptor subunit			C5P05_RS00055	255		partial;pseudo
gene	pseudogene	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000017.1	106	283	+							C5P05_RS00060	178		partial;pseudo
CDS	without_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000017.1	106	283	+				alpha/beta hydrolase			C5P05_RS00060	178		partial;pseudo
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000019.1	1	255	+							C5P05_RS00070	255		partial
CDS	with_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000019.1	1	255	+	WP_157979124.1	WP_157979124.1		serine hydrolase			C5P05_RS00070	255	85	partial
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000020.1	5	375	-							C5P05_RS00075	371		partial
CDS	with_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000020.1	5	375	-	WP_198674549.1	WP_198674549.1		transglutaminase family protein			C5P05_RS00075	371	122	partial
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000021.1	1	254	-							C5P05_RS00080	254		partial
CDS	with_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000021.1	1	254	-	WP_198674550.1	WP_198674550.1		serine hydrolase			C5P05_RS00080	254	84	partial
gene	pseudogene	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000022.1	1	255	-							C5P05_RS00085	255		partial;pseudo
CDS	without_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000022.1	1	255	-				transglutaminase family protein			C5P05_RS00085	255		partial;pseudo
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000024.1	50	255	+							C5P05_RS00095	206		partial
CDS	with_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000024.1	50	255	+	WP_157979126.1	WP_157979126.1		hypothetical protein			C5P05_RS00095	206	68	partial
gene	pseudogene	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000025.1	1	255	+							C5P05_RS00100	255		partial;pseudo
CDS	without_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000025.1	1	255	+				hypothetical protein			C5P05_RS00100	255		partial;pseudo
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000026.1	1	216	+							C5P05_RS00105	216		partial
CDS	with_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000026.1	1	216	+	WP_198674551.1	WP_198674551.1		hypothetical protein			C5P05_RS00105	216	71	partial
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000029.1	38	355	+							C5P05_RS00110	318		partial
CDS	with_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000029.1	38	355	+	WP_198674552.1	WP_198674552.1		hypothetical protein			C5P05_RS00110	318	106	partial
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000030.1	1	215	+							C5P05_RS00115	215		partial
CDS	with_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000030.1	1	215	+	WP_157979127.1	WP_157979127.1		serine hydrolase			C5P05_RS00115	215	71	partial
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000033.1	1	295	+							C5P05_RS00125	295		partial
CDS	with_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000033.1	1	295	+	WP_114967964.1	WP_114967964.1		4Fe-4S binding protein			C5P05_RS00125	295	98	partial
gene	pseudogene	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000034.1	1	224	+							C5P05_RS00130	224		partial;pseudo
CDS	without_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000034.1	1	224	+				hybrid sensor histidine kinase/response regulator			C5P05_RS00130	224		partial;pseudo
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000036.1	1	228	+							C5P05_RS00140	228		partial
CDS	with_protein	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000036.1	1	228	+	WP_157979128.1	WP_157979128.1		Tn3 family transposase			C5P05_RS00140	228	75	partial
gene	protein_coding	GCF_003347515.1	Primary Assembly	unplaced scaffold		NZ_QEII01000039.1	1	371	+							C5P05_RS00145	371		partial
