# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000001.1	44	502	-							BE15_RS00005	459		partial;old_locus_tag=BE15_24265
CDS	with_protein	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000001.1	44	502	-	WP_199693384.1	WP_199693384.1		transposase			BE15_RS00005	459	152	partial
gene	protein_coding	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000002.1	1	504	+							BE15_RS52710	504		partial;old_locus_tag=BE15_01025
CDS	with_protein	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000002.1	1	504	+	WP_199693385.1	WP_199693385.1		hypothetical protein			BE15_RS52710	504	168	partial
gene	pseudogene	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000003.1	1	509	-							BE15_RS52715	509		partial;pseudo;old_locus_tag=BE15_23625
CDS	without_protein	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000003.1	1	509	-				hypothetical protein			BE15_RS52715	509		partial;pseudo
gene	protein_coding	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000004.1	1	513	-							BE15_RS52720	513		partial;old_locus_tag=BE15_30950
CDS	with_protein	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000004.1	1	513	-	WP_199693386.1	WP_199693386.1		hypothetical protein			BE15_RS52720	513	171	partial
gene	protein_coding	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000005.1	1	529	-							BE15_RS00025	529		partial;old_locus_tag=BE15_15315
CDS	with_protein	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000005.1	1	529	-	WP_155797907.1	WP_155797907.1		tetratricopeptide repeat protein			BE15_RS00025	529	176	partial
gene	pseudogene	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000006.1	1	412	-							BE15_RS00030	412		partial;pseudo;old_locus_tag=BE15_22875
CDS	without_protein	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000006.1	1	412	-				hypothetical protein			BE15_RS00030	412		partial;pseudo
gene	protein_coding	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000007.1	132	538	-							BE15_RS00035	407		partial;old_locus_tag=BE15_40045
CDS	with_protein	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000007.1	132	538	-	WP_061605286.1	WP_061605286.1		YdcF family protein			BE15_RS00035	407	134	partial
gene	protein_coding	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000008.1	1	350	+							BE15_RS00040	350		partial;old_locus_tag=BE15_40040
CDS	with_protein	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000008.1	1	350	+	WP_199693387.1	WP_199693387.1		hypothetical protein			BE15_RS00040	350	115	partial
gene	protein_coding	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000009.1	1	557	+							BE15_RS00045	557		partial;old_locus_tag=BE15_29505
CDS	with_protein	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000009.1	1	557	+	WP_199693388.1	WP_199693388.1		GYF domain-containing protein			BE15_RS00045	557	186	partial
gene	protein_coding	GCF_001589285.1	Primary Assembly	unplaced scaffold		NZ_JEMA01000010.1	1	248	+							BE15_RS52725	248		partial;old_locus_tag=BE15_33505
