# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	1	253	-							C665_RS00005	253		partial;pseudo;old_locus_tag=C665_00005
CDS	without_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	1	253	-				branched-chain amino acid ABC transporter permease			C665_RS00005	253		partial;pseudo
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	547	2721	-							C665_RS00010	2175		old_locus_tag=C665_00010
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	547	2721	-	WP_040828175.1	WP_040828175.1		hypothetical protein			C665_RS00010	2175	724	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	2911	3552	-							C665_RS00015	642		old_locus_tag=C665_00015
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	2911	3552	-	WP_004265378.1	WP_004265378.1		MBL fold metallo-hydrolase			C665_RS00015	642	213	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	3831	5174	-					gdhA		C665_RS00020	1344		old_locus_tag=C665_00020
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	3831	5174	-	WP_004265379.1	WP_004265379.1		NADP-specific glutamate dehydrogenase	gdhA		C665_RS00020	1344	447	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	5171	5350	-							C665_RS20530	180		
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	5171	5350	-	WP_138860752.1	WP_138860752.1		hypothetical protein			C665_RS20530	180	59	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	5479	5955	+					lysM		C665_RS00025	477		old_locus_tag=C665_00025
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	5479	5955	+	WP_004265381.1	WP_004265381.1		peptidoglycan-binding protein LysM	lysM		C665_RS00025	477	158	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	6052	6480	+							C665_RS00030	429		old_locus_tag=C665_00030
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	6052	6480	+	WP_004265383.1	WP_004265383.1		thioesterase family protein			C665_RS00030	429	142	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	6487	7785	+							C665_RS00035	1299		old_locus_tag=C665_00035
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	6487	7785	+	WP_004265384.1	WP_004265384.1		TIGR03862 family flavoprotein			C665_RS00035	1299	432	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	7835	8467	+							C665_RS00040	633		old_locus_tag=C665_00040
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	7835	8467	+	WP_004265386.1	WP_004265386.1		trimeric intracellular cation channel family protein			C665_RS00040	633	210	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	8498	9700	-							C665_RS00045	1203		old_locus_tag=C665_00045
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	8498	9700	-	WP_004265388.1	WP_004265388.1		ammonium transporter			C665_RS00045	1203	400	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	10046	11380	+							C665_RS00050	1335		old_locus_tag=C665_00050
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	10046	11380	+	WP_004265396.1	WP_004265396.1		H(+)-transporting two-sector ATPase			C665_RS00050	1335	444	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	11373	12068	+							C665_RS00055	696		old_locus_tag=C665_00055
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	11373	12068	+	WP_012584456.1	WP_012584456.1		TrkA family potassium uptake protein			C665_RS00055	696	231	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	12149	12370	+							C665_RS00060	222		old_locus_tag=C665_00060
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	12149	12370	+	WP_004265401.1	WP_004265401.1		hypothetical protein			C665_RS00060	222	73	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	13166	13417	-							C665_RS00070	252		old_locus_tag=C665_00070
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	13166	13417	-	WP_004265416.1	WP_004265416.1		hypothetical protein			C665_RS00070	252	83	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	13531	14715	-							C665_RS00075	1185		old_locus_tag=C665_00075
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	13531	14715	-	WP_004265427.1	WP_004265427.1		DUF4062 domain-containing protein			C665_RS00075	1185	394	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	14919	15332	+							C665_RS00080	414		old_locus_tag=C665_00080
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	14919	15332	+	WP_004265429.1	WP_004265429.1		VOC family protein			C665_RS00080	414	137	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	15382	15768	-							C665_RS00085	387		old_locus_tag=C665_00085
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	15382	15768	-	WP_004265432.1	WP_004265432.1		bacteriohemerythrin			C665_RS00085	387	128	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	15776	17425	-							C665_RS00090	1650		old_locus_tag=C665_00090
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	15776	17425	-	WP_004265435.1	WP_004265435.1		xanthine/uracil/vitamin C permease			C665_RS00090	1650	549	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	18176	19084	-							C665_RS00095	909		old_locus_tag=C665_00095
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	18176	19084	-	WP_040828121.1	WP_040828121.1		LysR family transcriptional regulator			C665_RS00095	909	302	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	19317	20468	-							C665_RS00100	1152		old_locus_tag=C665_00100
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	19317	20468	-	WP_004265443.1	WP_004265443.1		trypsin-like peptidase domain-containing protein			C665_RS00100	1152	383	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	20493	21458	-							C665_RS00105	966		old_locus_tag=C665_00105
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	20493	21458	-	WP_004265445.1	WP_004265445.1		zinc metalloprotease HtpX			C665_RS00105	966	321	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	21436	21933	-					psiE-GI		C665_RS00110	498		old_locus_tag=C665_00110
CDS	with_protein	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	21436	21933	-	WP_040828124.1	WP_040828124.1		heat resistance protein PsiE-GI	psiE-GI		C665_RS00110	498	165	
gene	protein_coding	GCF_000310185.1	Primary Assembly	unplaced scaffold		NZ_AMXD01000001.1	21930	23645	-					kefB-GI		C665_RS00115	1716		old_locus_tag=C665_00115
