# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000297055.2	Primary Assembly	chromosome		NC_022357.1	14	1342	+					dnaA		SCD_RS00005	1329		old_locus_tag=SCD_02513,SCD_n00001
CDS	with_protein	GCF_000297055.2	Primary Assembly	chromosome		NC_022357.1	14	1342	+	WP_009207204.1	WP_009207204.1		chromosomal replication initiator protein DnaA	dnaA		SCD_RS00005	1329	442	
gene	protein_coding	GCF_000297055.2	Primary Assembly	chromosome		NC_022357.1	1529	2650	+							SCD_RS00010	1122		old_locus_tag=SCD_02512,SCD_n00002
CDS	with_protein	GCF_000297055.2	Primary Assembly	chromosome		NC_022357.1	1529	2650	+	WP_009207203.1	WP_009207203.1		DNA polymerase III subunit beta			SCD_RS00010	1122	373	
gene	protein_coding	GCF_000297055.2	Primary Assembly	chromosome		NC_022357.1	2682	5072	+					gyrB		SCD_RS00015	2391		old_locus_tag=SCD_02511,SCD_n00003
CDS	with_protein	GCF_000297055.2	Primary Assembly	chromosome		NC_022357.1	2682	5072	+	WP_009207202.1	WP_009207202.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		SCD_RS00015	2391	796	
gene	protein_coding	GCF_000297055.2	Primary Assembly	chromosome		NC_022357.1	5080	6225	+					earP		SCD_RS00020	1146		
CDS	with_protein	GCF_000297055.2	Primary Assembly	chromosome		NC_022357.1	5080	6225	+	WP_084607561.1	WP_084607561.1		elongation factor P maturation arginine rhamnosyltransferase EarP	earP		SCD_RS00020	1146	381	
gene	protein_coding	GCF_000297055.2	Primary Assembly	chromosome		NC_022357.1	6271	6831	+					efp		SCD_RS00025	561		old_locus_tag=SCD_02510,SCD_n00004
CDS	with_protein	GCF_000297055.2	Primary Assembly	chromosome		NC_022357.1	6271	6831	+	WP_009207201.1	WP_009207201.1		elongation factor P	efp		SCD_RS00025	561	186	
