# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	258	1100	+							HNE_RS00005	843		old_locus_tag=HNE_0001
CDS	with_protein	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	258	1100	+	WP_011645035.1	WP_011645035.1		kinase/pyrophosphorylase			HNE_RS00005	843	280	
gene	protein_coding	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	1097	1693	+							HNE_RS00010	597		old_locus_tag=HNE_0002
CDS	with_protein	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	1097	1693	+	WP_011645036.1	WP_011645036.1		maf-like protein			HNE_RS00010	597	198	
gene	protein_coding	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	1690	2502	+					aroE		HNE_RS00015	813		old_locus_tag=HNE_0003
CDS	with_protein	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	1690	2502	+	WP_011645037.1	WP_011645037.1		shikimate dehydrogenase	aroE		HNE_RS00015	813	270	
gene	protein_coding	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	2499	3107	+							HNE_RS00020	609		old_locus_tag=HNE_0004
CDS	with_protein	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	2499	3107	+	WP_011645038.1	WP_011645038.1		dephospho-CoA kinase			HNE_RS00020	609	202	
gene	protein_coding	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	3104	3802	+					dnaQ		HNE_RS00025	699		old_locus_tag=HNE_0005
CDS	with_protein	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	3104	3802	+	WP_011645039.1	WP_011645039.1		DNA polymerase III subunit epsilon	dnaQ		HNE_RS00025	699	232	
gene	protein_coding	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	3810	4310	-					secB		HNE_RS00030	501		old_locus_tag=HNE_0006
CDS	with_protein	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	3810	4310	-	WP_011645040.1	WP_011645040.1		protein-export chaperone SecB	secB		HNE_RS00030	501	166	
gene	protein_coding	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	4445	5059	+							HNE_RS00035	615		old_locus_tag=HNE_0007
CDS	with_protein	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	4445	5059	+	WP_011645041.1	WP_011645041.1		Tim44/TimA family putative adaptor protein			HNE_RS00035	615	204	
gene	protein_coding	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	5111	6349	+							HNE_RS00040	1239		old_locus_tag=HNE_0008
CDS	with_protein	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	5111	6349	+	WP_011645042.1	WP_011645042.1		MltA domain-containing protein			HNE_RS00040	1239	412	
gene	protein_coding	GCF_000013025.1	Primary Assembly	chromosome		NC_008358.1	6355	6885	+							HNE_RS00045	531		old_locus_tag=HNE_0009
