# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	46	1395	+					dnaA		GURA_RS00005	1350		old_locus_tag=Gura_0001
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	46	1395	+	WP_011936948.1	WP_011936948.1		chromosomal replication initiator protein DnaA	dnaA		GURA_RS00005	1350	449	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	1611	2729	+							GURA_RS00010	1119		old_locus_tag=Gura_0002
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	1611	2729	+	WP_011936949.1	WP_011936949.1		DNA polymerase III subunit beta			GURA_RS00010	1119	372	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	2810	3904	+					recF		GURA_RS00015	1095		old_locus_tag=Gura_0003
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	2810	3904	+	WP_011936950.1	WP_011936950.1		DNA replication/repair protein RecF	recF		GURA_RS00015	1095	364	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	3913	6297	+					gyrB		GURA_RS00020	2385		old_locus_tag=Gura_0004
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	3913	6297	+	WP_011936951.1	WP_011936951.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		GURA_RS00020	2385	794	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	6355	8853	+					gyrA		GURA_RS00025	2499		old_locus_tag=Gura_0005
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	6355	8853	+	WP_011936952.1	WP_011936952.1		DNA gyrase subunit A	gyrA		GURA_RS00025	2499	832	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	8937	10517	+							GURA_RS00030	1581		old_locus_tag=Gura_0006
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	8937	10517	+	WP_011936953.1	WP_011936953.1		HEAT repeat domain-containing protein			GURA_RS00030	1581	526	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	10593	11600	+							GURA_RS00035	1008		old_locus_tag=Gura_0007
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	10593	11600	+	WP_041245619.1	WP_041245619.1		NAD(P)H-dependent glycerol-3-phosphate dehydrogenase			GURA_RS00035	1008	335	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	11698	13974	+							GURA_RS00040	2277		old_locus_tag=Gura_0008
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	11698	13974	+	WP_011936955.1	WP_011936955.1		HAMP domain-containing protein			GURA_RS00040	2277	758	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	13961	15487	+							GURA_RS00045	1527		old_locus_tag=Gura_0009
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	13961	15487	+	WP_011936956.1	WP_011936956.1		response regulator			GURA_RS00045	1527	508	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	15519	17333	+							GURA_RS00050	1815		old_locus_tag=Gura_0010
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	15519	17333	+	WP_011936957.1	WP_011936957.1		PAS domain S-box protein			GURA_RS00050	1815	604	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	17330	19510	+							GURA_RS00055	2181		old_locus_tag=Gura_0011
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	17330	19510	+	WP_011936958.1	WP_011936958.1		response regulator			GURA_RS00055	2181	726	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	19507	20433	+							GURA_RS00060	927		old_locus_tag=Gura_0012
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	19507	20433	+	WP_011936959.1	WP_011936959.1		ATP-binding cassette domain-containing protein			GURA_RS00060	927	308	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	20508	21263	+							GURA_RS00065	756		old_locus_tag=Gura_0013
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	20508	21263	+	WP_011936960.1	WP_011936960.1		ABC transporter permease			GURA_RS00065	756	251	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	21393	22466	+							GURA_RS00070	1074		old_locus_tag=Gura_0014
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	21393	22466	+	WP_011936961.1	WP_011936961.1		radical SAM protein			GURA_RS00070	1074	357	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	22609	23628	+							GURA_RS00075	1020		old_locus_tag=Gura_0015
CDS	with_protein	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	22609	23628	+	WP_011936962.1	WP_011936962.1		uroporphyrinogen decarboxylase			GURA_RS00075	1020	339	
gene	protein_coding	GCF_000016745.1	Primary Assembly	chromosome		NC_009483.1	23781	24599	+							GURA_RS00080	819		old_locus_tag=Gura_0016
