# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	41	784	+					pcoS		DR74_RS00005	744		partial;pseudo;old_locus_tag=DR74_5450
CDS	without_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	41	784	+				copper resistance membrane spanning protein PcoS	pcoS		DR74_RS00005	744		partial;pseudo
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	1002	1436	+					pcoE		DR74_RS00010	435		old_locus_tag=DR74_5451
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	1002	1436	+	WP_013087108.1	WP_013087108.1		copper resistance system metallochaperone PcoE	pcoE		DR74_RS00010	435	144	
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	1656	1952	-							DR74_RS00015	297		old_locus_tag=DR74_5452
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	1656	1952	-	WP_013087107.1	WP_013087107.1		type II toxin-antitoxin system RelE/ParE family toxin			DR74_RS00015	297	98	
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	1939	2199	-							DR74_RS00020	261		old_locus_tag=DR74_5453
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	1939	2199	-	WP_013087106.1	WP_013087106.1		type II toxin-antitoxin system ParD family antitoxin			DR74_RS00020	261	86	
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	2341	2865	+							DR74_RS00025	525		old_locus_tag=DR74_5454
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	2341	2865	+	WP_013087105.1	WP_013087105.1		hypothetical protein			DR74_RS00025	525	174	
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	3232	4002	+							DR74_RS00030	771		old_locus_tag=DR74_5455
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	3232	4002	+	WP_013087103.1	WP_013087103.1		conjugal transfer protein TraX			DR74_RS00030	771	256	
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	4017	4355	+							DR74_RS00035	339		old_locus_tag=DR74_5456
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	4017	4355	+	WP_013087102.1	WP_013087102.1		hypothetical protein			DR74_RS00035	339	112	
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	4438	4767	+							DR74_RS00040	330		old_locus_tag=DR74_5458
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	4438	4767	+	WP_013087101.1	WP_013087101.1		hypothetical protein			DR74_RS00040	330	109	
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	4742	5548	-							DR74_RS00045	807		old_locus_tag=DR74_5457
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	4742	5548	-	WP_013087100.1	WP_013087100.1		DUF4225 domain-containing protein			DR74_RS00045	807	268	
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	6499	7512	-							DR74_RS00050	1014		old_locus_tag=DR74_5459
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	6499	7512	-	WP_013087098.1	WP_013087098.1		replication initiation protein			DR74_RS00050	1014	337	
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	8165	8431	+							DR74_RS00060	267		old_locus_tag=DR74_5460
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	8165	8431	+	WP_007869691.1	WP_007869691.1		DUF1778 domain-containing protein			DR74_RS00060	267	88	
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	8419	8904	+							DR74_RS00065	486		old_locus_tag=DR74_5461
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	8419	8904	+	WP_013087269.1	WP_013087269.1		GNAT family N-acetyltransferase			DR74_RS00065	486	161	
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	9271	10089	-							DR74_RS00070	819		old_locus_tag=DR74_5462
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	9271	10089	-	WP_013087268.1	WP_013087268.1		abortive infection family protein			DR74_RS00070	819	272	
gene	tRNA	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	10725	10851	-							DR74_RS29875	127		
tRNA		GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	10725	10851	-				tRNA-OTHER			DR74_RS29875	127		
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	10837	11667	-							DR74_RS00080	831		old_locus_tag=DR74_5463
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	10837	11667	-	WP_100135202.1	WP_100135202.1		hypothetical protein			DR74_RS00080	831	276	
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	11801	12319	-							DR74_RS00085	519		old_locus_tag=DR74_5464
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	11801	12319	-	WP_164928071.1	WP_164928071.1		DUF2913 family protein			DR74_RS00085	519	172	
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	12418	12986	-							DR74_RS27815	569		partial;old_locus_tag=DR74_5465
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	12418	12986	-	WP_144340289.1	WP_144340289.1		IS3 family transposase			DR74_RS27815	569	188	partial
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	13087	13207	-							DR74_RS29290	121		partial
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	13087	13207	-	WP_144340290.1	WP_144340290.1		transposase			DR74_RS29290	121	40	partial
gene	pseudogene	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	13300	13890	-							DR74_RS00100	591		partial;pseudo;old_locus_tag=DR74_5478
CDS	without_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	13300	13890	-				type VI secretion system ImpA family N-terminal domain-containing protein			DR74_RS00100	591		partial;pseudo
gene	protein_coding	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	14084	14788	+							DR74_RS00105	705		old_locus_tag=DR74_5479
CDS	with_protein	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	14084	14788	+	WP_001067855.1	WP_001067855.1		IS6-like element IS26 family transposase			DR74_RS00105	705	234	
gene	pseudogene	GCF_000755525.1	Primary Assembly	unplaced scaffold		NZ_KN150799.1	14841	15896	+							DR74_RS00110	1056		partial;pseudo;old_locus_tag=DR74_5480
