# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001612535.1	Primary Assembly	unplaced scaffold		NZ_LVYU01000001.1	35	226	-							A4A59_RS00005	192		old_locus_tag=A4A59_00005
CDS	with_protein	GCF_001612535.1	Primary Assembly	unplaced scaffold		NZ_LVYU01000001.1	35	226	-	WP_027664062.1	WP_027664062.1		DUF2735 domain-containing protein			A4A59_RS00005	192	63	
gene	protein_coding	GCF_001612535.1	Primary Assembly	unplaced scaffold		NZ_LVYU01000001.1	659	1699	+							A4A59_RS00010	1041		old_locus_tag=A4A59_00010
CDS	with_protein	GCF_001612535.1	Primary Assembly	unplaced scaffold		NZ_LVYU01000001.1	659	1699	+	WP_062939652.1	WP_062939652.1		glutamine synthetase beta-grasp domain-containing protein			A4A59_RS00010	1041	346	
gene	protein_coding	GCF_001612535.1	Primary Assembly	unplaced scaffold		NZ_LVYU01000001.1	1948	3129	+							A4A59_RS00015	1182		old_locus_tag=A4A59_00015
CDS	with_protein	GCF_001612535.1	Primary Assembly	unplaced scaffold		NZ_LVYU01000001.1	1948	3129	+	WP_062939653.1	WP_062939653.1		glycosyltransferase family 1 protein			A4A59_RS00015	1182	393	
gene	protein_coding	GCF_001612535.1	Primary Assembly	unplaced scaffold		NZ_LVYU01000001.1	3136	4149	-							A4A59_RS00020	1014		old_locus_tag=A4A59_00020
CDS	with_protein	GCF_001612535.1	Primary Assembly	unplaced scaffold		NZ_LVYU01000001.1	3136	4149	-	WP_062939654.1	WP_062939654.1		alpha/beta hydrolase			A4A59_RS00020	1014	337	
gene	protein_coding	GCF_001612535.1	Primary Assembly	unplaced scaffold		NZ_LVYU01000001.1	4311	4748	+							A4A59_RS00025	438		old_locus_tag=A4A59_00025
CDS	with_protein	GCF_001612535.1	Primary Assembly	unplaced scaffold		NZ_LVYU01000001.1	4311	4748	+	WP_062939655.1	WP_062939655.1		MarR family transcriptional regulator			A4A59_RS00025	438	145	
gene	protein_coding	GCF_001612535.1	Primary Assembly	unplaced scaffold		NZ_LVYU01000001.1	4841	6262	-					der		A4A59_RS00030	1422		old_locus_tag=A4A59_00030
