# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	3642387	791	+							EHO51_RS00005	1125		old_locus_tag=EHO51_00005
CDS	with_protein	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	3642387	791	+	WP_124737175.1	WP_124737175.1		ABC transporter permease			EHO51_RS00005	1125	374	
gene	protein_coding	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	1180	2031	+							EHO51_RS00010	852		old_locus_tag=EHO51_00010
CDS	with_protein	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	1180	2031	+	WP_124737176.1	WP_124737176.1		ROK family protein			EHO51_RS00010	852	283	
gene	protein_coding	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	1980	3791	-							EHO51_RS00015	1812		old_locus_tag=EHO51_00015
CDS	with_protein	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	1980	3791	-	WP_124739968.1	WP_124739968.1		ABC transporter ATP-binding protein/permease			EHO51_RS00015	1812	603	
gene	protein_coding	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	3957	6086	+							EHO51_RS00020	2130		old_locus_tag=EHO51_00020
CDS	with_protein	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	3957	6086	+	WP_124737177.1	WP_124737177.1		glycoside hydrolase family 3 C-terminal domain-containing protein			EHO51_RS00020	2130	709	
gene	protein_coding	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	6105	7691	+							EHO51_RS00025	1587		old_locus_tag=EHO51_00025
CDS	with_protein	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	6105	7691	+	WP_124737178.1	WP_124737178.1		alpha-amylase			EHO51_RS00025	1587	528	
gene	protein_coding	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	7911	8213	-							EHO51_RS00030	303		old_locus_tag=EHO51_00030
CDS	with_protein	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	7911	8213	-	WP_164479307.1	WP_164479307.1		transposase			EHO51_RS00030	303	100	
gene	protein_coding	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	9017	10645	+							EHO51_RS00035	1629		old_locus_tag=EHO51_00035
CDS	with_protein	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	9017	10645	+	WP_124739969.1	WP_124739969.1		recombinase family protein			EHO51_RS00035	1629	542	
gene	tRNA	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	10602	10678	-							EHO51_RS00040	77		old_locus_tag=EHO51_00040
tRNA		GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	10602	10678	-				tRNA-Met			EHO51_RS00040	77		anticodon=CAT
gene	protein_coding	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	10942	11817	+							EHO51_RS00045	876		old_locus_tag=EHO51_00045
CDS	with_protein	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	10942	11817	+	WP_124737180.1	WP_124737180.1		phosphoribulokinase			EHO51_RS00045	876	291	
gene	protein_coding	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	11829	13832	+					tkt		EHO51_RS00050	2004		old_locus_tag=EHO51_00050
CDS	with_protein	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	11829	13832	+	WP_124739970.1	WP_124739970.1		transketolase	tkt		EHO51_RS00050	2004	667	
gene	protein_coding	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	13851	14933	+					fba		EHO51_RS00055	1083		old_locus_tag=EHO51_00055
CDS	with_protein	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	13851	14933	+	WP_124737181.1	WP_124737181.1		fructose-bisphosphate aldolase class II	fba		EHO51_RS00055	1083	360	
gene	protein_coding	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	14938	15618	+							EHO51_RS00060	681		old_locus_tag=EHO51_00060
CDS	with_protein	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	14938	15618	+	WP_124737182.1	WP_124737182.1		ribulose-phosphate 3-epimerase			EHO51_RS00060	681	226	
gene	tRNA	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	15839	15913	+							EHO51_RS00065	75		old_locus_tag=EHO51_00065
tRNA		GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	15839	15913	+				tRNA-Gln			EHO51_RS00065	75		anticodon=TTG
gene	protein_coding	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	16260	17846	-							EHO51_RS00070	1587		old_locus_tag=EHO51_00070
CDS	with_protein	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	16260	17846	-	WP_124737183.1	WP_124737183.1		recombinase family protein			EHO51_RS00070	1587	528	
gene	protein_coding	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	17843	18583	-							EHO51_RS00075	741		old_locus_tag=EHO51_00075
CDS	with_protein	GCF_003855495.1	Primary Assembly	chromosome		NZ_CP034086.1	17843	18583	-	WP_164479308.1	WP_164479308.1		DUF2924 domain-containing protein			EHO51_RS00075	741	246	
