# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	8233083	2	-							NPUN_RS00010	1242		old_locus_tag=Npun_R6632
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	8233083	2	-	WP_041565807.1	WP_041565807.1		trypsin-like peptidase domain-containing protein			NPUN_RS00010	1242	413	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	167	1546	+					dnaA		NPUN_RS00015	1380		old_locus_tag=Npun_F0001
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	167	1546	+	WP_012406833.1	WP_012406833.1		chromosomal replication initiator protein DnaA	dnaA		NPUN_RS00015	1380	459	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	1766	2947	+							NPUN_RS00020	1182		old_locus_tag=Npun_F0002
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	1766	2947	+	WP_012406834.1	WP_012406834.1		family 10 glycosylhydrolase			NPUN_RS00020	1182	393	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	3195	4685	-							NPUN_RS00025	1491		old_locus_tag=Npun_R0003
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	3195	4685	-	WP_012406835.1	WP_012406835.1		glutamine synthetase family protein			NPUN_RS00025	1491	496	
gene	pseudogene	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	5193	6323	-							NPUN_RS00030	1131		pseudo;old_locus_tag=Npun_R0004
CDS	without_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	5193	6323	-				aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme			NPUN_RS00030	1131		pseudo
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	6568	7167	+							NPUN_RS00035	600		old_locus_tag=Npun_F0005
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	6568	7167	+	WP_012406837.1	WP_012406837.1		hypothetical protein			NPUN_RS00035	600	199	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	7215	13253	-							NPUN_RS00040	6039		old_locus_tag=Npun_R0006
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	7215	13253	-	WP_012406838.1	WP_012406838.1		hypothetical protein			NPUN_RS00040	6039	2012	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	13250	14554	-							NPUN_RS00045	1305		old_locus_tag=Npun_R0007
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	13250	14554	-	WP_012406839.1	WP_012406839.1		AAA family ATPase			NPUN_RS00045	1305	434	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	15003	16226	+					ribD		NPUN_RS00050	1224		old_locus_tag=Npun_F0008
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	15003	16226	+	WP_012406840.1	WP_012406840.1		bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	ribD		NPUN_RS00050	1224	407	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	16269	16487	-							NPUN_RS00055	219		old_locus_tag=Npun_R0009
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	16269	16487	-	WP_012406841.1	WP_012406841.1		hypothetical protein			NPUN_RS00055	219	72	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	16727	18235	-							NPUN_RS00060	1509		old_locus_tag=Npun_R0010
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	16727	18235	-	WP_012406842.1	WP_012406842.1		haloacid dehalogenase-like hydrolase			NPUN_RS00060	1509	502	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	18584	20419	-							NPUN_RS00065	1836		old_locus_tag=Npun_R0011
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	18584	20419	-	WP_012406843.1	WP_012406843.1		serine/threonine protein kinase			NPUN_RS00065	1836	611	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	20601	21023	+							NPUN_RS41455	423		
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	20601	21023	+	WP_041565085.1	WP_041565085.1		hypothetical protein			NPUN_RS41455	423	140	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	20991	22043	-							NPUN_RS00075	1053		old_locus_tag=Npun_R0012
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	20991	22043	-	WP_012406844.1	WP_012406844.1		hypothetical protein			NPUN_RS00075	1053	350	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	22525	24453	+							NPUN_RS00080	1929		old_locus_tag=Npun_F0013
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	22525	24453	+	WP_012406845.1	WP_012406845.1		cyclomaltodextrin glucanotransferase			NPUN_RS00080	1929	642	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	24966	25703	+							NPUN_RS00085	738		old_locus_tag=Npun_F0014
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	24966	25703	+	WP_012406846.1	WP_012406846.1		hypothetical protein			NPUN_RS00085	738	245	
gene	pseudogene	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	26198	26935	+							NPUN_RS00090	738		pseudo;old_locus_tag=Npun_F0015
CDS	without_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	26198	26935	+				class I SAM-dependent methyltransferase			NPUN_RS00090	738		pseudo
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	27085	27489	-							NPUN_RS00095	405		old_locus_tag=Npun_R0016
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	27085	27489	-	WP_041565086.1	WP_041565086.1		hypothetical protein			NPUN_RS00095	405	134	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	27679	30159	+					ppsA		NPUN_RS00100	2481		old_locus_tag=Npun_F0017
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	27679	30159	+	WP_012406849.1	WP_012406849.1		phosphoenolpyruvate synthase	ppsA		NPUN_RS00100	2481	826	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	30366	30908	+							NPUN_RS00105	543		old_locus_tag=Npun_F0018
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	30366	30908	+	WP_012406850.1	WP_012406850.1		GNAT family N-acetyltransferase			NPUN_RS00105	543	180	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	30967	32535	+							NPUN_RS00110	1569		old_locus_tag=Npun_F0019
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	30967	32535	+	WP_012406851.1	WP_012406851.1		phospholipid carrier-dependent glycosyltransferase			NPUN_RS00110	1569	522	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	32843	35149	+							NPUN_RS00115	2307		old_locus_tag=Npun_F0020
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	32843	35149	+	WP_012406852.1	WP_012406852.1		GAF domain-containing protein			NPUN_RS00115	2307	768	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	35094	35540	+							NPUN_RS00120	447		old_locus_tag=Npun_F0021
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	35094	35540	+	WP_012406853.1	WP_012406853.1		response regulator			NPUN_RS00120	447	148	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	35672	36835	+							NPUN_RS00125	1164		old_locus_tag=Npun_F0022
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	35672	36835	+	WP_012406854.1	WP_012406854.1		hybrid sensor histidine kinase/response regulator			NPUN_RS00125	1164	387	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	37054	37707	-					trmB		NPUN_RS00130	654		old_locus_tag=Npun_R0023
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	37054	37707	-	WP_012406855.1	WP_012406855.1		tRNA (guanosine(46)-N7)-methyltransferase TrmB	trmB		NPUN_RS00130	654	217	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	38120	39568	+							NPUN_RS00135	1449		old_locus_tag=Npun_F0024
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	38120	39568	+	WP_012406856.1	WP_012406856.1		pentapeptide repeat-containing protein			NPUN_RS00135	1449	482	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	39862	42477	+					gyrA		NPUN_RS00140	2616		old_locus_tag=Npun_F0025
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	39862	42477	+	WP_012406857.1	WP_012406857.1		DNA topoisomerase (ATP-hydrolyzing) subunit A	gyrA		NPUN_RS00140	2616	871	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	42458	44047	+					lnt		NPUN_RS00145	1590		old_locus_tag=Npun_F0026
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	42458	44047	+	WP_041565087.1	WP_041565087.1		apolipoprotein N-acyltransferase	lnt		NPUN_RS00145	1590	529	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	44126	44461	+							NPUN_RS00150	336		old_locus_tag=Npun_F0027
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	44126	44461	+	WP_012406859.1	WP_012406859.1		DUF4870 domain-containing protein			NPUN_RS00150	336	111	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	44847	45224	+							NPUN_RS00155	378		
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	44847	45224	+	WP_041565088.1	WP_041565088.1		hypothetical protein			NPUN_RS00155	378	125	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	45418	46422	-							NPUN_RS00160	1005		old_locus_tag=Npun_R0029
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	45418	46422	-	WP_012406860.1	WP_012406860.1		transaldolase			NPUN_RS00160	1005	334	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	46657	48087	-					pyk		NPUN_RS00165	1431		old_locus_tag=Npun_R0030
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	46657	48087	-	WP_012406861.1	WP_012406861.1		pyruvate kinase	pyk		NPUN_RS00165	1431	476	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	48381	49424	-					gap		NPUN_RS00170	1044		old_locus_tag=Npun_R0031
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	48381	49424	-	WP_012406862.1	WP_012406862.1		type I glyceraldehyde-3-phosphate dehydrogenase	gap		NPUN_RS00170	1044	347	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	49663	50706	-							NPUN_RS00175	1044		old_locus_tag=Npun_R0032
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	49663	50706	-	WP_041565089.1	WP_041565089.1		DUF2891 domain-containing protein			NPUN_RS00175	1044	347	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	51075	52661	-							NPUN_RS00180	1587		old_locus_tag=Npun_R0033
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	51075	52661	-	WP_012406864.1	WP_012406864.1		B12-binding domain-containing radical SAM protein			NPUN_RS00180	1587	528	
gene	protein_coding	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	53308	54471	-							NPUN_RS00185	1164		old_locus_tag=Npun_R0034
CDS	with_protein	GCF_000020025.1	Primary Assembly	chromosome		NC_010628.1	53308	54471	-	WP_012406865.1	WP_012406865.1		DNA polymerase III subunit beta			NPUN_RS00185	1164	387	
