# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000040.1	44	739	+							MICVADRAFT_RS27145	696		old_locus_tag=MicvaDRAFT_0007
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000040.1	44	739	+	WP_202798608.1	WP_202798608.1		sugar transferase			MICVADRAFT_RS27145	696	231	
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000040.1	802	2043	+							MICVADRAFT_RS27150	1242		old_locus_tag=MicvaDRAFT_0008
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000040.1	802	2043	+	WP_158308034.1	WP_158308034.1		glycosyltransferase family 4 protein			MICVADRAFT_RS27150	1242	413	
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000040.1	2433	3974	-							MICVADRAFT_RS27155	1542		old_locus_tag=MicvaDRAFT_0009
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000040.1	2433	3974	-	WP_006636047.1	WP_006636047.1		hypothetical protein			MICVADRAFT_RS27155	1542	513	
gene	pseudogene	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	1	350	+							MICVADRAFT_RS30930	350		partial;pseudo;old_locus_tag=MicvaDRAFT_0010
CDS	without_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	1	350	+				hypothetical protein			MICVADRAFT_RS30930	350		partial;pseudo
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	739	1869	+							MICVADRAFT_RS27115	1131		old_locus_tag=MicvaDRAFT_0011
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	739	1869	+	WP_006636039.1	WP_006636039.1		hypothetical protein			MICVADRAFT_RS27115	1131	376	
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	2441	2791	+							MICVADRAFT_RS29610	351		
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	2441	2791	+	WP_083822061.1	WP_083822061.1		hypothetical protein			MICVADRAFT_RS29610	351	116	
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	3015	3359	+							MICVADRAFT_RS27125	345		old_locus_tag=MicvaDRAFT_0013
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	3015	3359	+	WP_138921136.1	WP_138921136.1		hypothetical protein			MICVADRAFT_RS27125	345	114	
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	3359	3877	+							MICVADRAFT_RS27130	519		old_locus_tag=MicvaDRAFT_0014
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	3359	3877	+	WP_006636042.1	WP_006636042.1		hypothetical protein			MICVADRAFT_RS27130	519	172	
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	3877	4140	+							MICVADRAFT_RS27135	264		old_locus_tag=MicvaDRAFT_0015
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	3877	4140	+	WP_006636043.1	WP_006636043.1		hypothetical protein			MICVADRAFT_RS27135	264	87	
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	4131	4688	+							MICVADRAFT_RS27140	558		old_locus_tag=MicvaDRAFT_0016
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000039.1	4131	4688	+	WP_006636044.1	WP_006636044.1		hypothetical protein			MICVADRAFT_RS27140	558	185	
gene	pseudogene	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000038.1	90	1157	-							MICVADRAFT_RS27080	1068		pseudo;old_locus_tag=MicvaDRAFT_0017
CDS	without_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000038.1	90	1157	-				ISKra4 family transposase			MICVADRAFT_RS27080	1068		pseudo
gene	pseudogene	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000038.1	1304	2017	-							MICVADRAFT_RS27090	714		partial;pseudo
CDS	without_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000038.1	1304	2017	-				HNH endonuclease			MICVADRAFT_RS27090	714		partial;pseudo
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000038.1	2148	3890	-					ltrA		MICVADRAFT_RS27095	1743		old_locus_tag=MicvaDRAFT_0020
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000038.1	2148	3890	-	WP_006636036.1	WP_006636036.1		group II intron reverse transcriptase/maturase	ltrA		MICVADRAFT_RS27095	1743	580	
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000038.1	4450	4872	-							MICVADRAFT_RS27100	423		
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000038.1	4450	4872	-	WP_039888196.1	WP_039888196.1		RRXRR domain-containing protein			MICVADRAFT_RS27100	423	140	
gene	pseudogene	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000038.1	4890	5574	+							MICVADRAFT_RS27105	685		pseudo;old_locus_tag=MicvaDRAFT_0022
CDS	without_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000038.1	4890	5574	+				IS1 family transposase			MICVADRAFT_RS27105	685		pseudo
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000037.1	21	392	+							MICVADRAFT_RS30920	372		
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000037.1	21	392	+	WP_158308032.1	WP_158308032.1		hypothetical protein			MICVADRAFT_RS30920	372	123	
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000037.1	887	1252	-							MICVADRAFT_RS27045	366		old_locus_tag=MicvaDRAFT_0003
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000037.1	887	1252	-	WP_006636031.1	WP_006636031.1		hypothetical protein			MICVADRAFT_RS27045	366	121	
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000037.1	1982	2266	+							MICVADRAFT_RS30925	285		
CDS	with_protein	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000037.1	1982	2266	+	WP_158308033.1	WP_158308033.1		ribbon-helix-helix domain-containing protein			MICVADRAFT_RS30925	285	94	
gene	protein_coding	GCF_000214075.1	Primary Assembly	unplaced scaffold		NZ_AFJC01000037.1	2256	4646	+							MICVADRAFT_RS27060	2391		old_locus_tag=MicvaDRAFT_0004
